Title,BSR,Price in £ (starting from),Author,Book Type,ASIN,ISBN-10,ISBN-13,URL
Para Francais 1945-1962,"1,998,098","2,558.99",Eric Adam,Hardcover,235250094X, 235250094X, 978-2352500940,https://www.amazon.co.uk/Para-Francais-1945-1962-Eric-Adam/dp/235250094X/ref=sr_1_128?s=books&ie=UTF8&qid=1540557797&sr=1-128&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
"England's Dreaming: The ""Sex Pistols"" and Punk Rock by Savage, Jon ( 1992 )","1,500,529","2,000.00",Unnamed,Hardcover,B00E31OSXC,Not available,Not available,https://www.amazon.co.uk/Englands-Dreaming-Pistols-Punk-Savage/dp/B00E31OSXC/ref=sr_1_144?s=books&ie=UTF8&qid=1540557815&sr=1-144&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Iris Bodemer: Rebus. Jewelry 1997-2013: Schmuck / Jewelry 1997-2013,"2,406,846","2,324.99",Marjan Unger,Hardcover,3897904047, 3897904047, 978-3897904040,https://www.amazon.co.uk/Iris-Bodemer-Jewelry-1997-2013-Schmuck/dp/3897904047/ref=sr_1_610?s=books&ie=UTF8&qid=1540558323&sr=1-610&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
"Surfaces: Color, Substances, and Ritual Applications on African Sculpture (African Expressive Cultures)","2,764,740","2,181.99",Leonard Kahan,Hardcover,0253352517, 0253352517, 978-0253352514,https://www.amazon.co.uk/Surfaces-Substances-Applications-Sculpture-Expressive/dp/0253352517/ref=sr_1_602?s=books&ie=UTF8&qid=1540558305&sr=1-602&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Atomic Physics (Teach Yourself),"2,377,926","2,950.99",J.M. Valentine,Hardcover,0340055170, 0340055170, 978-0340055175,https://www.amazon.co.uk/Atomic-Physics-Teach-Yourself-Valentine/dp/0340055170/ref=sr_1_601?s=books&ie=UTF8&qid=1540558305&sr=1-601&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Understanding Tendering and Estimating,"2,515,186","2,230.00",A.A Kwakye,Hardcover,0566074907, 0566074907, 978-0566074905,https://www.amazon.co.uk/Understanding-Tendering-Estimating-Kwakye/dp/0566074907/ref=sr_1_599?s=books&ie=UTF8&qid=1540558305&sr=1-599&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
"The Encyclopaedia of Egypt During the Reign of the Mehemet Ali Dynasty 1798-1952 - The People, Places and Events That Shaped Nineteenth Century Egypt","2,740,281","2,148.00",Patrick Richard Carstens,Hardcover,146024897X, 146024897X, 978-1460248973,https://www.amazon.co.uk/Encyclopaedia-During-Mehemet-Dynasty-1798-1952/dp/146024897X/ref=sr_1_587?s=books&ie=UTF8&qid=1540558285&sr=1-587&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Bronte Mini Wrap (Embellished Manuscripts Collection),"2,685,739","2,248.99",The Paperblanks Book Company,Hardcover,1551566672, 1551566672, 978-1551566672,https://www.amazon.co.uk/Bronte-Mini-Embellished-Manuscripts-Collection/dp/1551566672/ref=sr_1_586?s=books&ie=UTF8&qid=1540558285&sr=1-586&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Geuze & Kriek: The Secret of Lambic Beer,"2,731,767","2,425.99",Jef van den Steen,Hardcover,9020998765, 9020998765, 978-9020998764,https://www.amazon.co.uk/Geuze-Kriek-Secret-Lambic-Beer/dp/9020998765/ref=sr_1_571?s=books&ie=UTF8&qid=1540558265&sr=1-571&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Rogue Trader: Battlefleet Koronus,"2,243,030","2,101.99",Fantasy Flight Games,Hardcover,1589947991, 1589947991, 978-1589947993,https://www.amazon.co.uk/Rogue-Trader-Fantasy-Flight-Games/dp/1589947991/ref=sr_1_563?s=books&ie=UTF8&qid=1540558265&sr=1-563&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
"Constructing Landscape [HC]: Materials, Techniques, Building elements","2,270,705","2,053.00",Astrid Zimmermann,Hardcover,3034607369, 3034607369, 978-3034607360,https://www.amazon.co.uk/Constructing-Landscape-HC-Materials-Techniques/dp/3034607369/ref=sr_1_559?s=books&ie=UTF8&qid=1540558250&sr=1-559&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Ibn Sa'd's Kitab Al-Tabaqat Al-Kabir(2 Volume Set): Earliest Works on Biographical Literature of Islam: 9,"2,030,657","2,893.99",Ibn Saad,Hardcover,8171511279, 8171511279, 978-8171511273,https://www.amazon.co.uk/Ibn-Sads-Kitab-Al-Tabaqat-Al-Kabir/dp/8171511279/ref=sr_1_558?s=books&ie=UTF8&qid=1540558250&sr=1-558&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Porsche 918 Spyder,"1,647,141","2,550.99",Delius Klasing Verlag GmbH,Hardcover,366710037X, 366710037X, 978-3667100375,https://www.amazon.co.uk/Porsche-Spyder-Delius-Klasing-Verlag/dp/366710037X/ref=sr_1_550?s=books&ie=UTF8&qid=1540558250&sr=1-550&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Inside the Paddock: Racing Car Transporters at Work,"1,483,103","2,047.06",David Cross,Hardcover,1854432540, 1854432540, 978-1854432544,https://www.amazon.co.uk/Inside-Paddock-Racing-Transporters-Work/dp/1854432540/ref=sr_1_548?s=books&ie=UTF8&qid=1540558250&sr=1-548&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Messerschmitt Me 210 / Me 410 Hornisse (Hornet),"1,335,852","2,150.40",Werner Stocker,Hardcover,1857802713, 1857802713, 978-1857802719,https://www.amazon.co.uk/Messerschmitt-210-410-Hornisse-Hornet/dp/1857802713/ref=sr_1_546?s=books&ie=UTF8&qid=1540558250&sr=1-546&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Beautiful Beasts,"668,971","2,474.88",Camilla de le Bédoyère,Hardcover,1784930288, 1784930288, 978-1784930288,https://www.amazon.co.uk/Beautiful-Beasts-Camilla-B%C3%A9doy%C3%A8re/dp/1784930288/ref=sr_1_542?s=books&ie=UTF8&qid=1540558232&sr=1-542&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Doctor Who and the Planet of the Spiders (Longbow series),"288,454","2,042.99",Terrance Dicks,Hardcover,0855230533, 0855230533, 978-0855230531,https://www.amazon.co.uk/Doctor-Who-Planet-Spiders-Longbow/dp/0855230533/ref=sr_1_340?s=books&ie=UTF8&qid=1540558034&sr=1-340&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
"Wind in the Willows, The Vol.1: The Wild Wood","2,464,162","2,000.00",Kenneth Grahame,Hardcover,1905460007, 1905460007, 978-1905460007,https://www.amazon.co.uk/Wind-Willows-Vol-1-Wild-Wood/dp/1905460007/ref=sr_1_159?s=books&ie=UTF8&qid=1540557830&sr=1-159&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
The Great Transformation,"2,321,850","2,160.99",Karl Polanyi,Hardcover,0848817117, 0848817117, 978-0848817114,https://www.amazon.co.uk/Great-Transformation-Karl-Polanyi/dp/0848817117/ref=sr_1_155?s=books&ie=UTF8&qid=1540557830&sr=1-155&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Site Engineers Manual,"1,858,921","2,879.31",David K. Doran,Hardcover,1870325249, 1870325249, 978-1870325240,https://www.amazon.co.uk/Site-Engineers-Manual-David-Doran/dp/1870325249/ref=sr_1_123?s=books&ie=UTF8&qid=1540557797&sr=1-123&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Principles of Transistor Circuits,"2,694,120","2,324.98",S.W. Amos,Hardcover,0592028356, 0592028356, 978-0592028354,https://www.amazon.co.uk/Principles-Transistor-Circuits-S-W-Amos/dp/0592028356/ref=sr_1_113?s=books&ie=UTF8&qid=1540557797&sr=1-113&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Bullen and Leake and Jacob's Precedents of Pleadings,"2,765,312","2,509.58",E. Bullen,Hardcover,0421731907, 0421731907, 978-0421731905,https://www.amazon.co.uk/Bullen-Leake-Jacobs-Precedents-Pleadings/dp/0421731907/ref=sr_1_109?s=books&ie=UTF8&qid=1540557779&sr=1-109&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
I Light a Candle,"2,086,345","2,759.41",Gena Turgel,Hardcover,0708919847, 0708919847, 978-0708919842,https://www.amazon.co.uk/I-Light-Candle-Gena-Turgel/dp/0708919847/ref=sr_1_92?s=books&ie=UTF8&qid=1540557759&sr=1-92&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Albania as Dictatorship and Democracy (Albania in the Twentieth Century),"2,947,414","2,447.99",Owen Pearson,Hardcover,1845111052, 1845111052, 978-1845111052,https://www.amazon.co.uk/Albania-Dictatorship-Democracy-Twentieth-Century/dp/1845111052/ref=sr_1_86?s=books&ie=UTF8&qid=1540557759&sr=1-86&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Mechanical Singing-bird Tabatieres,"2,863,189","2,543.99",Geoffrey T. Mayson,Hardcover,0709063032, 0709063032, 978-0709063032,https://www.amazon.co.uk/Mechanical-Singing-bird-Tabatieres-Geoffrey-Mayson/dp/0709063032/ref=sr_1_74?s=books&ie=UTF8&qid=1540557743&sr=1-74&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Flop-Ear and his Friends (Cat's Whiskers),"2,525,129","2,351.94",Van G,Hardcover,1903012007, 1903012007, 978-1903012000,https://www.amazon.co.uk/Flop-Ear-his-Friends-Cats-Whiskers/dp/1903012007/ref=sr_1_71?s=books&ie=UTF8&qid=1540557743&sr=1-71&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Attachment and Loss: Attachment v. 1 (International Psycho-Analysis Library),"2,936,792","2,209.99",John Bowlby,Hardcover,0701203005, 0701203005, 978-0701203009,https://www.amazon.co.uk/Attachment-Loss-International-Psycho-Analysis-Library/dp/0701203005/ref=sr_1_69?s=books&ie=UTF8&qid=1540557743&sr=1-69&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
The Key to Self-liberation: 1000 Diseases and Their Psychological Origins,"881,738","2,925.27",Christiane Beerlandt,Hardcover,9075849354, 9075849354, 978-9075849356,https://www.amazon.co.uk/Key-Self-liberation-Diseases-Psychological-Origins/dp/9075849354/ref=sr_1_68?s=books&ie=UTF8&qid=1540557743&sr=1-68&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
The Architecture of Sir Edwin Lutyens (The Lutyens memorial),"2,585,684","2,430.49",A.S.G. Bulter,Hardcover,0907462723, 0907462723, 978-0907462729,https://www.amazon.co.uk/Architecture-Sir-Edwin-Lutyens-memorial/dp/0907462723/ref=sr_1_66?s=books&ie=UTF8&qid=1540557743&sr=1-66&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Vanessa Bell,"790,580","2,343.99",Sarah Milroy,Hardcover,1781300593, 1781300593, 978-1781300596,https://www.amazon.co.uk/Vanessa-Bell-Sarah-Milroy/dp/1781300593/ref=sr_1_58?s=books&ie=UTF8&qid=1540557730&sr=1-58&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Lettering in stone,"2,652,914","2,503.99",Harold Crossley,Hardcover,1854211250, 1854211250, 978-1854211255,https://www.amazon.co.uk/Lettering-stone-Harold-Crossley/dp/1854211250/ref=sr_1_57?s=books&ie=UTF8&qid=1540557730&sr=1-57&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Computational Modeling of Gene Regulatory Networks - A Primer,"2,756,468","2,789.99",Bolouri Hamid,Hardcover,1848162200, 1848162200, 978-1848162204,https://www.amazon.co.uk/Computational-Modeling-Gene-Regulatory-Networks/dp/1848162200/ref=sr_1_56?s=books&ie=UTF8&qid=1540557730&sr=1-56&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Great Books of the Western World,"1,329,396","2,362.34",Mortimer J. Adler,Hardcover,0852295316, 0852295316, 978-0852295311,https://www.amazon.co.uk/Great-Books-Western-World-Mortimer/dp/0852295316/ref=sr_1_42?s=books&ie=UTF8&qid=1540557716&sr=1-42&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
The Stations and Structures of the Midland & Great Northern Railway: Lowestoft to Melton Constable,"1,237,334","2,989.99",Nigel J. L. Digby,Hardcover,1899889825, 1899889825, 978-1899889822,https://www.amazon.co.uk/Stations-Structures-Midland-Northern-Railway/dp/1899889825/ref=sr_1_41?s=books&ie=UTF8&qid=1540557716&sr=1-41&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Farming (Geography Detective Investigates),"1,435,267","2,309.99",Jen Green,Hardcover,0750262621, 0750262621, 978-0750262620,https://www.amazon.co.uk/Farming-Geography-Detective-Investigates-Green/dp/0750262621/ref=sr_1_38?s=books&ie=UTF8&qid=1540557716&sr=1-38&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
MacGillivray on Insurance Law,"1,713,873","2,628.99",Ben Lynch,Hardcover,0414024451, 0414024451, 978-0414024458,https://www.amazon.co.uk/MacGillivray-Insurance-Professor-John-Birds/dp/0414024451/ref=sr_1_26?s=books&ie=UTF8&qid=1540557701&sr=1-26&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
How to Solve Problems: New Methods and Ideas,"1,565,173","2,961.99",Spyros Kalomitsines,Hardcover,1604564296, 1604564296, 978-1604564297,https://www.amazon.co.uk/How-Solve-Problems-Methods-Ideas/dp/1604564296/ref=sr_1_24?s=books&ie=UTF8&qid=1540557701&sr=1-24&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Practical Aspects of Ophthalmic Optics,"914,055","2,592.99",Margaret Dowaliby OD,Hardcover,0750671890, 0750671890, 978-0750671897,https://www.amazon.co.uk/Practical-Aspects-Ophthalmic-Margaret-Dowaliby/dp/0750671890/ref=sr_1_20?s=books&ie=UTF8&qid=1540557701&sr=1-20&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Marsden Collisions at Sea (British Shipping Law Library),"1,216,941","2,404.99",Simon Gault,Hardcover,0421684003, 0421684003, 978-0421684003,https://www.amazon.co.uk/Marsden-Collisions-British-Shipping-Library/dp/0421684003/ref=sr_1_17?s=books&ie=UTF8&qid=1540557701&sr=1-17&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
Early Northwest Semitic Serpent Spells in the Pyramid Texts,"1,280,951","2,055.99",Richard C. Steiner,Hardcover,1575069377, 1575069377, 978-1575069371,https://www.amazon.co.uk/Northwest-Semitic-Serpent-Spells-Pyramid/dp/1575069377/ref=sr_1_13/257-0863472-6383660?s=books&ie=UTF8&qid=1540557690&sr=1-13&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
"Cazabon  , an Illustrated Biography of Trinidads 19th Century Painter","886,302","2,559.99",Geoffrey MacLean,Hardcover,8459915557, 8459915557, 978-8459915557,https://www.amazon.co.uk/Cazabon-Illustrated-Biography-Trinidads-Century/dp/8459915557/ref=sr_1_12/257-0863472-6383660?s=books&ie=UTF8&qid=1540557690&sr=1-12&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-300000
