Title,BSR,Price in £ (starting from),Author,Book Type,ASIN,ISBN-10,ISBN-13,URL
Bowerbird: Creating Beautiful Interiors with the Things You Collect,"778,946",977.29,Sibella Court,Hardcover,1742705197, 1742705197, 978-1742705194,https://www.amazon.co.uk/Bowerbird-Creating-Beautiful-Interiors-Collect/dp/1742705197/ref=sr_1_699?s=books&ie=UTF8&qid=1540737137&sr=1-699&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
The Singular and the Making of Knowledge at the Royal Society of London in the Eighteenth Century,"1,899,010",932.28,Palmira Fontes da Costa,Hardcover,144380357X, 144380357X, 978-1443803571,https://www.amazon.co.uk/Singular-Knowledge-Society-Eighteenth-Century/dp/144380357X/ref=sr_1_697?s=books&ie=UTF8&qid=1540737137&sr=1-697&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
BREAKS UNINTENTIONAL HUMOUR BY TIRED NEWSPAPER-MEN AND OTHERS,"1,385,356",837.57,W.W. Scott,Hardcover,B000J3RXF8,Not available,Not available,https://www.amazon.co.uk/BREAKS-UNINTENTIONAL-HUMOUR-NEWSPAPER-MEN-OTHERS/dp/B000J3RXF8/ref=sr_1_696?s=books&ie=UTF8&qid=1540737137&sr=1-696&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Pleasure of ruins,"1,738,729",941.02,Rose Macaulay,Hardcover,B0000CN5D3,Not available,Not available,https://www.amazon.co.uk/Pleasure-ruins-Rose-Macaulay/dp/B0000CN5D3/ref=sr_1_673?s=books&ie=UTF8&qid=1540737122&sr=1-673&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
100 Superlative Rolex Watches,"1,767,564",898.38,John Goldberger,Hardcover,886208031X, 886208031X, 978-8862080316,https://www.amazon.co.uk/Superlative-Rolex-Watches-John-Goldberger/dp/886208031X/ref=sr_1_651?s=books&ie=UTF8&qid=1540737084&sr=1-651&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
"Evolving Transcendentalism in Literature and Architecture: Frank Furness, Louis Sullivan, and Frank Lloyd Wright","1,810,628",785.22,Naomi Tanabe Uechi,Hardcover,1443842885, 1443842885, 978-1443842884,https://www.amazon.co.uk/Evolving-Transcendentalism-Literature-Architecture-Sullivan/dp/1443842885/ref=sr_1_650?s=books&ie=UTF8&qid=1540737084&sr=1-650&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Atlas of Topographical Anatomy of the Domestic Animals,"1,577,103",750.00,Peter Popesko MVDr  DrSc,Hardcover,0721672752, 0721672752, 978-0721672755,https://www.amazon.co.uk/Atlas-Topographical-Anatomy-Domestic-Animals/dp/0721672752/ref=sr_1_646?s=books&ie=UTF8&qid=1540737084&sr=1-646&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Away wi' the Goalie !,"992,314",914.25,John Fairgrieve,Hardcover,0091299101, 0091299101, 978-0091299101,https://www.amazon.co.uk/Away-wi-Goalie-John-Fairgrieve/dp/0091299101/ref=sr_1_620?s=books&ie=UTF8&qid=1540737049&sr=1-620&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Failure of Charisma: Cultural Revolution in Wuhan,"1,796,273",833.99,Shaoguang Wang,Hardcover,0195859502, 0195859502, 978-0195859508,https://www.amazon.co.uk/Failure-Charisma-Cultural-Revolution-Wuhan/dp/0195859502/ref=sr_1_607?s=books&ie=UTF8&qid=1540737030&sr=1-607&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Richard of England,"1,585,030",989.47,D. M. Kleyn,Hardcover,B0014BVHNS, 0946041636, 978-0946041633,https://www.amazon.co.uk/Richard-England-D-M-Kleyn/dp/B0014BVHNS/ref=sr_1_589?s=books&ie=UTF8&qid=1540737015&sr=1-589&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Thomas and his Friends (The Railway Series),"798,868",786.99,Christopher Awdry,Hardcover,1405255234, 1405255234, 978-1405255233,https://www.amazon.co.uk/Thomas-Friends-Railway-Christopher-Awdry/dp/1405255234/ref=sr_1_583?s=books&ie=UTF8&qid=1540737015&sr=1-583&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Applique: Design and Method,"1,171,361",876.14,Kathleen Mann,Hardcover,B000JY75QE,Not available,Not available,https://www.amazon.co.uk/Applique-Design-Method-Kathleen-Mann/dp/B000JY75QE/ref=sr_1_554?s=books&ie=UTF8&qid=1540736981&sr=1-554&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
The making of classical Edinburgh: 1750-1840,"1,204,564",942.62,Alexander John Youngson,Hardcover,B0000CNBHZ,Not available,Not available,https://www.amazon.co.uk/making-classical-Edinburgh-1750-1840/dp/B0000CNBHZ/ref=sr_1_519?s=books&ie=UTF8&qid=1540736942&sr=1-519&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Duncan Main of Hangchow,"1,443,424",992.35,Alexander Gammie,Hardcover,B00196P220,Not available,Not available,https://www.amazon.co.uk/Duncan-Main-Hangchow-Alexander-Gammie/dp/B00196P220/ref=sr_1_513?s=books&ie=UTF8&qid=1540736942&sr=1-513&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
A Text Book of Convergence,"689,574",809.47,W. L. Ferrar,Hardcover,B000860KCY,Not available,Not available,https://www.amazon.co.uk/Text-Book-Convergence-W-Ferrar/dp/B000860KCY/ref=sr_1_492?s=books&ie=UTF8&qid=1540736910&sr=1-492&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Jane's Military Communications,"1,381,531",794.15,R. J. Raggett,Hardcover,B009FNY3T2, 0354005863, 978-0354005869,https://www.amazon.co.uk/Janes-Military-Communications-R-Raggett/dp/B009FNY3T2/ref=sr_1_465?s=books&ie=UTF8&qid=1540736892&sr=1-465&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Jane's Military Communications,"1,381,531",794.15,R. J. Raggett,Hardcover,B009FNY3T2, 0354005863, 978-0354005869,https://www.amazon.co.uk/Janes-Military-Communications-R-Raggett/dp/B009FNY3T2/ref=sr_1_462?s=books&ie=UTF8&qid=1540736875&sr=1-462&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Ecclesia et Violentia: Violence against the Church and Violence within the Church in the Middle Ages,"1,481,169",877.03,Rados aw Kotecki,Hardcover,1443866598, 1443866598, 978-1443866590,https://www.amazon.co.uk/Ecclesia-Violentia-Violence-against-Church/dp/1443866598/ref=sr_1_453?s=books&ie=UTF8&qid=1540736875&sr=1-453&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Modal Logic (Cambridge Tracts in Theoretical Computer Science),"943,158",810.82,Patrick Blackburn,Hardcover,0521802008, 9780521802000, 978-0521802000,https://www.amazon.co.uk/Cambridge-Tracts-Theoretical-Computer-Science/dp/0521802008/ref=sr_1_370?s=books&ie=UTF8&qid=1540736797&sr=1-370&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Judicial Review in Comparative Law (Cambridge Studies in International and Comparative Law),"1,352,464",868.99,A. R. Brewer-Carias,Hardcover,0521333873, 0521333873, 978-0521333870,https://www.amazon.co.uk/Judicial-Comparative-Cambridge-Studies-International/dp/0521333873/ref=sr_1_367?s=books&ie=UTF8&qid=1540736779&sr=1-367&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Difficult diagnosis: A guide to the interpretation of obscure illness,"1,032,945",954.68,H.J Roberts,Hardcover,B0000CK4OQ,Not available,Not available,https://www.amazon.co.uk/Difficult-diagnosis-interpretation-obscure-illness/dp/B0000CK4OQ/ref=sr_1_351?s=books&ie=UTF8&qid=1540736762&sr=1-351&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
"Lord Crewe, 1858-1945: The likeness of a Liberal","1,024,905",985.51,James Pope-Hennessy,Hardcover,B0000CJARI,Not available,Not available,https://www.amazon.co.uk/Lord-Crewe-1858-1945-likeness-Liberal/dp/B0000CJARI/ref=sr_1_344?s=books&ie=UTF8&qid=1540736762&sr=1-344&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
English Pattern Trial and Proof Coins in Gold 1547-1968,"1,370,250",750.53,Alexander Gray Wilson,Hardcover,0953775402, 0953775402, 978-0953775408,https://www.amazon.co.uk/English-Pattern-Trial-Proof-1547-1968/dp/0953775402/ref=sr_1_315?s=books&ie=UTF8&qid=1540736731&sr=1-315&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
The Mystery of the Blue Train Hercule Poirot's Christmas,"1,007,074",988.00,Agatha Christie,Hardcover,B003DKUO46,Not available,Not available,https://www.amazon.co.uk/Mystery-Train-Hercule-Poirots-Christmas/dp/B003DKUO46/ref=sr_1_274?s=books&ie=UTF8&qid=1540736701&sr=1-274&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
The Complete Middle Eastern Cookbook,"478,401",864.93,Tess Mallos,Hardcover,1742704921, 1742704921, 978-1742704920,https://www.amazon.co.uk/Complete-Middle-Eastern-Cookbook/dp/1742704921/ref=sr_1_244?s=books&ie=UTF8&qid=1540736664&sr=1-244&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
From the Outside Looking In: Experiences in Barefoot Economics,"738,928",942.83,Manfred Max-Neef,Hardcover,1856491870, 9781856491877, 978-1856491877,https://www.amazon.co.uk/Outside-Looking-Experiences-Barefoot-Economics/dp/1856491870/ref=sr_1_207?s=books&ie=UTF8&qid=1540736617&sr=1-207&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
A Miscellany Revised,"1,605,091",940.42,"E.E. ; Firmage, George J. (ed.) Cummings",Hardcover,B0006BLWWI,Not available,Not available,https://www.amazon.co.uk/Miscellany-Revised-Firmage-George-Cummings/dp/B0006BLWWI/ref=sr_1_178?s=books&ie=UTF8&qid=1540736599&sr=1-178&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
A Miscellany Revised,"1,605,091",940.42,"E.E. ; Firmage, George J. (ed.) Cummings",Hardcover,B0006BLWWI,Not available,Not available,https://www.amazon.co.uk/Miscellany-Revised-Firmage-George-Cummings/dp/B0006BLWWI/ref=sr_1_175?s=books&ie=UTF8&qid=1540736579&sr=1-175&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
A Defence of Uranian Love (Valancourt Classics),"1,163,735",991.82,Edward Perry Warren,Hardcover,193455569X, 193455569X, 978-1934555699,https://www.amazon.co.uk/Defence-Uranian-Love-Valancourt-Classics/dp/193455569X/ref=sr_1_171?s=books&ie=UTF8&qid=1540736579&sr=1-171&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
The Servant of Jehovah: The Sufferings of the Messiah and the Glory that Should Follow. An Exposition of Isaiah LIII,"829,305",871.39,David Baron,Hardcover,B000KNN2VQ,Not available,Not available,https://www.amazon.co.uk/Servant-Jehovah-Sufferings-Messiah-Exposition/dp/B000KNN2VQ/ref=sr_1_155?s=books&ie=UTF8&qid=1540736563&sr=1-155&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Afritecture: Building in Africa,"962,002",961.99,Andres Leipik,Hardcover,3775736611, 9783775736619, 978-3775736619,https://www.amazon.co.uk/Afritecture-Building-Africa-Andres-Leipik/dp/3775736611/ref=sr_1_136?s=books&ie=UTF8&qid=1540736546&sr=1-136&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Law of Success in Sixteen Lessons,"1,237,889",971.23,Napoleon Hill,Hardcover,B0007DQ8Z6,Not available,Not available,https://www.amazon.co.uk/Success-Sixteen-Lessons-Napoleon-Hill/dp/B0007DQ8Z6/ref=sr_1_115?s=books&ie=UTF8&qid=1540736532&sr=1-115&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Master Techniques in Podiatric Surgery: The Foot and Ankle,"1,028,663",931.83,Thomas J. Chang,Hardcover,0781732352, 0781732352, 978-0781732352,https://www.amazon.co.uk/Master-Techniques-Podiatric-Surgery-Ankle/dp/0781732352/ref=sr_1_109?s=books&ie=UTF8&qid=1540736517&sr=1-109&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
"By Author The Gingerbread Boy (A Ladybird Easy Reading Books)(Well-Loved Tales Series, Vol. 606D, No. 7)","218,602",912.99,Author,Hardcover,B00NBOMHTO,Not available,Not available,https://www.amazon.co.uk/Author-Gingerbread-Ladybird-Reading-Well-Loved/dp/B00NBOMHTO/ref=sr_1_103?s=books&ie=UTF8&qid=1540736517&sr=1-103&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Know Thy Beast: Vincent Motor Cycles,"842,691",797.89,E.M.G. Stevens,Hardcover,0950418684, 0950418684, 978-0950418681,https://www.amazon.co.uk/Know-Thy-Beast-Vincent-Cycles/dp/0950418684/ref=sr_1_93?s=books&ie=UTF8&qid=1540736497&sr=1-93&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
The Art of Simon Palmer,"494,818",817.99,Elspeth Moncrieff,Hardcover,0955657660, 0955657660, 978-0955657665,https://www.amazon.co.uk/Art-Simon-Palmer-Elspeth-Moncrieff/dp/0955657660/ref=sr_1_92?s=books&ie=UTF8&qid=1540736497&sr=1-92&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
"The City & Guilds Textbook: Level 3 Diploma in Electrical Installations (Buildings and Structures) 2365 Units 201, 301-5 and 308 by The IET & City & Guilds (2013) Hardcover","1,393,434",840.52,No Author Specified!!,Hardcover,B00M8OVVFE,Not available,Not available,https://www.amazon.co.uk/City-Guilds-Textbook-Electrical-Installations/dp/B00M8OVVFE/ref=sr_1_72?s=books&ie=UTF8&qid=1540736478&sr=1-72&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Hunt for Paradise: Court Arts of Safavid Iran 1501-76,"810,361",972.76,Sheila R. Canby,Hardcover,8884915902, 8884915902, 978-8884915900,https://www.amazon.co.uk/Hunt-Paradise-Court-Safavid-1501-76/dp/8884915902/ref=sr_1_60?s=books&ie=UTF8&qid=1540736461&sr=1-60&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Cat's Eye,"922,117",985.99,Margaret Atwood,Hardcover,1408802805, 1408802805, 978-1408802809,https://www.amazon.co.uk/Cats-Eye-Margaret-Atwood/dp/1408802805/ref=sr_1_54?s=books&ie=UTF8&qid=1540736461&sr=1-54&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
John Elliot Cairnes: Collected Works,"566,800",792.63,Tom Boylan,Hardcover,0415312191, 0415312191, 978-0415312196,https://www.amazon.co.uk/John-Elliot-Cairnes-Collected-Works/dp/0415312191/ref=sr_1_37?s=books&ie=UTF8&qid=1540736446&sr=1-37&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
National Geographic: Around the World in 125 Years (2013-11-08),"1,124,094",811.61,Unknown,Hardcover,B01FJ120K2,Not available,Not available,https://www.amazon.co.uk/National-Geographic-Around-World-2013-11-08/dp/B01FJ120K2/ref=sr_1_30?s=books&ie=UTF8&qid=1540736431&sr=1-30&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
The Clothes That Wear Us: Essays in Dressing and Transgressing in Eighteenth-century Culture (1999-10-31),"898,004",946.07,Unknown,Hardcover,B01HCA52GC,Not available,Not available,https://www.amazon.co.uk/Clothes-That-Wear-Transgressing-Eighteenth-century/dp/B01HCA52GC/ref=sr_1_23?s=books&ie=UTF8&qid=1540736431&sr=1-23&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
The Fashionable Savages,"864,920",964.83,John Fairchild,Hardcover,B0007DZAMI,Not available,Not available,https://www.amazon.co.uk/Fashionable-Savages-John-Fairchild/dp/B0007DZAMI/ref=sr_1_13/257-8633244-7126025?s=books&ie=UTF8&qid=1540736419&sr=1-13&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Harland Miller - Overcoming Optimism by Michael Bracewell (2012-12-14),"769,557",928.88,Michael Bracewell;Tim Marlow;Harland Miller,Hardcover,B01K3IWLU0,Not available,Not available,https://www.amazon.co.uk/Harland-Miller-Overcoming-Bracewell-2012-12-14/dp/B01K3IWLU0/ref=sr_1_9/257-8633244-7126025?s=books&ie=UTF8&qid=1540736419&sr=1-9&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
