Title,BSR,Price in £ (starting from),Author,Book Type,ASIN,ISBN-10,ISBN-13,URL
Landscape Photographer of the Year : Collection 11 (Aa),"136,763","1,000.00",Charlie Waite,Hardcover,0749579072, 0749579072, 978-0749579074,https://www.amazon.co.uk/Landscape-Photographer-Year-Collection-11/dp/0749579072/ref=sr_1_1/260-9804904-2628516?s=books&ie=UTF8&qid=1540621882&sr=1-1&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A99900-100000
Supervision in social work: A method of student training and staff development (National Institute for Social Work Training series;no.0),"2,768,151","1,000.00",Dorothy Elizabeth Pettes,Hardcover,B0000CNEHU,Not available,Not available,https://www.amazon.co.uk/Supervision-social-work-development-Institute/dp/B0000CNEHU/ref=sr_1_32?s=books&ie=UTF8&qid=1540621892&sr=1-32&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A99900-100000
More Steel Frame Design Examples,"2,818,704","1,000.00",I. Robb,Hardcover,B00KNX97IU,Not available,Not available,https://www.amazon.co.uk/More-Steel-Frame-Design-Examples/dp/B00KNX97IU/ref=sr_1_48?s=books&ie=UTF8&qid=1540621911&sr=1-48&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A99900-100000
St. Pauls Ephesian ministry : a reconstruction with special reference to the Ephesian origin of the imprisonment epistles / by George S. Duncan,"4,123,191","1,000.00",George Simpson Duncan,Hardcover,B000GLQFMU,Not available,Not available,https://www.amazon.co.uk/St-Pauls-Ephesian-ministry-reconstruction/dp/B000GLQFMU/ref=sr_1_80?s=books&ie=UTF8&qid=1540621945&sr=1-80&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A99900-100000
Ancient Times - A History of the Modern World,"4,325,917","1,000.00",J H Breasted,Hardcover,B001OYVUK0,Not available,Not available,https://www.amazon.co.uk/Ancient-Times-History-Modern-World/dp/B001OYVUK0/ref=sr_1_112?s=books&ie=UTF8&qid=1540621977&sr=1-112&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A99900-100000
Pulmonary Tuberculosis: Its Etiology And Treatment,"4,361,281","1,000.00",D.C. Muthu,Hardcover,B00088TH6M,Not available,Not available,https://www.amazon.co.uk/Pulmonary-Tuberculosis-Its-Etiology-Treatment/dp/B00088TH6M/ref=sr_1_128?s=books&ie=UTF8&qid=1540621993&sr=1-128&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A99900-100000
My Father's Glory and My Mother's Castle,"2,511,198","1,000.00",Marcel Pagnol,Hardcover,0233984585, 0233984585, 978-0233984582,https://www.amazon.co.uk/My-Fathers-Glory-Mothers-Castle/dp/0233984585/ref=sr_1_144?s=books&ie=UTF8&qid=1540622011&sr=1-144&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A99900-100000
Gas Transmission and Distribution,"3,357,802","1,000.00",D.L. Copp,Hardcover,0719825326, 0719825326, 978-0719825323,https://www.amazon.co.uk/Gas-Transmission-Distribution-D-L-Copp/dp/0719825326/ref=sr_1_672?s=books&ie=UTF8&qid=1540622564&sr=1-672&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A99900-100000
Asian Soups,"2,656,450",999.12,Suzie Smith,Hardcover,0705434753, 0705434753, 978-0705434751,https://www.amazon.co.uk/Asian-Soups-Suzie-Smith/dp/0705434753/ref=sr_1_864?s=books&ie=UTF8&qid=1540622774&sr=1-864&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A99900-100000
What Will it be Like in the New Britain,"4,379,687","1,000.00",R Acland,Hardcover,B01BLQOZNY,Not available,Not available,https://www.amazon.co.uk/What-Will-Like-New-Britain/dp/B01BLQOZNY/ref=sr_1_1052?s=books&ie=UTF8&qid=1540622985&sr=1-1052&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A99900-100000
