Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL
Hölderlin's Sophocles,"1,719,748",500.00,Friedrich Hölderlin,Paperback,1852245433, 1852245433, 978-1852245436,https://www.amazon.co.uk/H%C3%B6lderlins-Sophocles-Friedrich-H%C3%B6lderlin/dp/1852245433/ref=sr_1_127?s=books&ie=UTF8&qid=1540587007&sr=1-127&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A49900-50000
Odysseus and the Odyssey (Graphic Mythical Heroes),"1,886,627",500.00,Gary Jeffrey,Paperback,1433975203, 1433975203, 978-1433975202,https://www.amazon.co.uk/Odysseus-Odyssey-Graphic-Mythical-Heroes/dp/1433975203/ref=sr_1_51?s=books&ie=UTF8&qid=1540586941&sr=1-51&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A49900-50000
Everybody Feels... Sad (Everybody Feels (Crabtree)),"855,837",500.00,Jane Bingham,Paperback,0778740668, 9780778740667, 978-0778740667,https://www.amazon.co.uk/Everybody-Feels-Sad-Crabtree/dp/0778740668/ref=sr_1_17?s=books&ie=UTF8&qid=1540586907&sr=1-17&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A49900-50000
White coolies (Panther books; no.738),"1,924,948",499.99,Betty Jeffrey,Paperback,B0000CJX1L,Not available,Not available,https://www.amazon.co.uk/White-coolies-Panther-books-no-738/dp/B0000CJX1L/ref=sr_1_15/260-7142186-3109943?s=books&ie=UTF8&qid=1540586898&sr=1-15&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A49900-50000
Matteo Pasquinelli: Animal Spirits a Bestiary of the Commons (Studies in Network Cultures),"1,822,319",499.00,Matteo Pasquinelli,Paperback,9056626639, 9056626639, 978-9056626631,https://www.amazon.co.uk/Matteo-Pasquinelli-Spirits-Bestiary-Cultures/dp/9056626639/ref=sr_1_13/260-7142186-3109943?s=books&ie=UTF8&qid=1540586898&sr=1-13&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A49900-50000
The New Jackals: Osama bin Laden and the Future of Terrorism by Simon Reeve (2001-10-15),"1,635,256",500.00,No Author Specified!!,Paperback,B017LCG2IS,Not available,Not available,https://www.amazon.co.uk/New-Jackals-Future-Terrorism-2001-10-15/dp/B017LCG2IS/ref=sr_1_10/260-7142186-3109943?s=books&ie=UTF8&qid=1540586898&sr=1-10&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A49900-50000
"White Knight, Black Swan","1,174,052",499.50,Ross Harding,Paperback,0099217716, 0099217716, 978-0099217718,https://www.amazon.co.uk/White-Knight-Black-Swan-Harding/dp/0099217716/ref=sr_1_9/260-7142186-3109943?s=books&ie=UTF8&qid=1540586898&sr=1-9&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A49900-50000
