Title,BSR,Price in £ (starting from),Author,ASIN,ISBN-10,ISBN-13,URL
Climate Change and the Law (Ius Gentium: Comparative Perspectives on Law and Justice),"884,215",121.93,Erkki J. Hollo,9400754396, 9400754396, 978-9400754393,https://www.amazon.co.uk/Climate-Change-Law-Ius-Gentium/dp/9400754396/ref=sr_1_625?s=books&ie=UTF8&qid=1540479134&sr=1-625&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Jim Button and Luke the Engine Driver,"552,996",466.37,Michael Ende,0879513918, 0879513918, 978-0879513917,https://www.amazon.co.uk/Jim-Button-Luke-Engine-Driver/dp/0879513918/ref=sr_1_623?s=books&ie=UTF8&qid=1540479116&sr=1-623&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Migraine (Contemporary Neurology Series),"616,219",109.95,David Dodick FRCP (C)  FACP  MD,0199793611, 0199793611, 978-0199793617,https://www.amazon.co.uk/Migraine-Contemporary-Neurology-David-Dodick/dp/0199793611/ref=sr_1_621?s=books&ie=UTF8&qid=1540479116&sr=1-621&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
High Voltage Power Network Construction (Energy Engineering),"568,820",127.45,Keith Harker,1785614231, 1785614231, 978-1785614231,https://www.amazon.co.uk/Voltage-Network-Construction-Energy-Engineering/dp/1785614231/ref=sr_1_620?s=books&ie=UTF8&qid=1540479116&sr=1-620&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Unitary Group Representations in Physics, Probability and Number Theory (Advanced Book Classics)","559,530",104.61,George W. Mackey,020151009X, 020151009X, 978-0201510096,https://www.amazon.co.uk/Unitary-Representations-Probability-Advanced-Classics/dp/020151009X/ref=sr_1_616?s=books&ie=UTF8&qid=1540479116&sr=1-616&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Tristram and Coote's Probate Practice,"509,019",350.00,Roland D'Costa,1405745681, 1405745681, 978-1405745680,https://www.amazon.co.uk/Tristram-Cootes-Probate-Practice-Roland/dp/1405745681/ref=sr_1_614?s=books&ie=UTF8&qid=1540479116&sr=1-614&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Bassett's Environmental Health Procedures,"352,954",201.19,Tim Deveaux,0415639719, 9780415639712, 978-0415639712,https://www.amazon.co.uk/Bassetts-Environmental-Health-Procedures-Bassett/dp/0415639719/ref=sr_1_612?s=books&ie=UTF8&qid=1540479116&sr=1-612&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Biogenesis of Cellular Organelles (Molecular Biology Intelligence Unit),"568,181",100.40,Chris Mullins,0306479907, 0306479907, 978-0306479908,https://www.amazon.co.uk/Biogenesis-Cellular-Organelles-Molecular-Intelligence/dp/0306479907/ref=sr_1_611?s=books&ie=UTF8&qid=1540479116&sr=1-611&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Nineteenth-Century Music Criticism (Music, Criticism & Politics)","547,029",137.46,Teresa Cascudo Garcia-Villaraco,2503574971, 2503574971, 978-2503574974,https://www.amazon.co.uk/Nineteenth-Century-Music-Criticism-Politics/dp/2503574971/ref=sr_1_610?s=books&ie=UTF8&qid=1540479116&sr=1-610&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Power System Commissioning and Maintenance Practice (Energy Engineering),"381,805",163.59,Keith Harker,0852969090, 9780852969090, 978-0852969090,https://www.amazon.co.uk/System-Commissioning-Maintenance-Practice-Engineering/dp/0852969090/ref=sr_1_609?s=books&ie=UTF8&qid=1540479116&sr=1-609&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
T-34 on the Battlefield (World War Two Photobook Series) by Peter Kocsis (2013-07-19),"593,851",109.79,Peter Kocsis,B01K3HZADQ,Not available,Not available,https://www.amazon.co.uk/Battlefield-World-Photobook-Kocsis-2013-07-19/dp/B01K3HZADQ/ref=sr_1_607?s=books&ie=UTF8&qid=1540479095&sr=1-607&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Anamorphic Art,"685,464",104.01,Jurgis Baltrusaitis,0859640299, 0859640299, 978-0859640299,https://www.amazon.co.uk/Anamorphic-Art-Jurgis-Baltrusaitis/dp/0859640299/ref=sr_1_602?s=books&ie=UTF8&qid=1540479095&sr=1-602&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
