Title,BSR,Price in £ (starting from),Author,ASIN,ISBN-10,ISBN-13,URL
ISGOTT: International Safety Guide for Oil Tankers and Terminals,"789,906",236.04,International Chamber of Shipping,1856092917, 1856092917, 978-1856092913,https://www.amazon.co.uk/ISGOTT-International-Safety-Tankers-Terminals/dp/1856092917/ref=sr_1_508?s=books&ie=UTF8&qid=1540478994&sr=1-508&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Rebetiko Worlds,"634,248",266.00,Dafni Tragaki,1847181503, 1847181503, 978-1847181503,https://www.amazon.co.uk/Rebetiko-Worlds-Dafni-Tragaki/dp/1847181503/ref=sr_1_507?s=books&ie=UTF8&qid=1540478994&sr=1-507&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Poems of William Cowper: Volume II: 1782-1785: 1782-1785 Vol 2 (Oxford English Texts),"622,309",194.65,William Cowper,0198123396, 0198123396, 978-0198123392,https://www.amazon.co.uk/Poems-William-Cowper-1782-1785-English/dp/0198123396/ref=sr_1_504?s=books&ie=UTF8&qid=1540478994&sr=1-504&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Moonwatch Only: 60 Years of OMEGA Speedmaster,"37,144",446.12,Grégoire Rossier,2940506175, 9782940506170, 978-2940506170,https://www.amazon.co.uk/Moonwatch-Only-Years-OMEGA-Speedmaster/dp/2940506175/ref=sr_1_502?s=books&ie=UTF8&qid=1540478994&sr=1-502&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Special situation investing: Hedging, arbitrage, and liquidation","643,322",202.49,Brian J Stark,0870943847, 0870943847, 978-0870943843,https://www.amazon.co.uk/Special-situation-investing-arbitrage-liquidation/dp/0870943847/ref=sr_1_501?s=books&ie=UTF8&qid=1540478994&sr=1-501&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Methods for Neuronal Recording in Conscious Animals (IBRO Handbook Series: Methods in the Neurosciences),"632,659",142.48,Roger Lemon,0471901741, 0471901741, 978-0471901747,https://www.amazon.co.uk/Methods-Neuronal-Recording-Conscious-Handbook/dp/0471901741/ref=sr_1_500?s=books&ie=UTF8&qid=1540478994&sr=1-500&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Lost Lives: The Stories of the Men, Women and Children Who Died as a Result of the Northern Ireland Troubles","177,807",119.99,David McKittrick,184018227X, 184018227X, 978-1840182279,https://www.amazon.co.uk/Lost-Lives-Children-Northern-Troubles/dp/184018227X/ref=sr_1_499?s=books&ie=UTF8&qid=1540478994&sr=1-499&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Nelson Textbook of Pediatrics,"609,107",125.00,Robert M. Kliegman,0323449190, 0323449190, 978-0323449199,https://www.amazon.co.uk/Nelson-Textbook-Pediatrics-Robert-Kliegman/dp/0323449190/ref=sr_1_498?s=books&ie=UTF8&qid=1540478994&sr=1-498&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Cambridge History of Japan 6 Volume Set,"843,749",350.38,Unnamed,0521657288, 0521657288, 978-0521657280,https://www.amazon.co.uk/Cambridge-History-Japan-Set/dp/0521657288/ref=sr_1_487?s=books&ie=UTF8&qid=1540478977&sr=1-487&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Ideas and Policies Under Labour, 1945-51: Building a New Britain","492,452",109.86,Martin Francis,0719048338, 0719048338, 978-0719048333,https://www.amazon.co.uk/Ideas-Policies-Under-Labour-1945-51/dp/0719048338/ref=sr_1_481?s=books&ie=UTF8&qid=1540478977&sr=1-481&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Ideas and Policies Under Labour, 1945-51: Building a New Britain","492,452",109.86,Martin Francis,0719048338, 0719048338, 978-0719048333,https://www.amazon.co.uk/Ideas-Policies-Under-Labour-1945-51/dp/0719048338/ref=sr_1_477?s=books&ie=UTF8&qid=1540478959&sr=1-477&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Mitochondria and Longevity: Volume 340 (International Review of Cell and Molecular Biology),"658,380",204.05,Carlos Lopez-Otin,0128157364, 9780128157367, 978-0128157367,https://www.amazon.co.uk/Mitochondria-Longevity-International-Molecular-Biology/dp/0128157364/ref=sr_1_474?s=books&ie=UTF8&qid=1540478959&sr=1-474&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Atlas of Ancient Rome: Biography and Portraits of the City - Two-volume slipcased set,"30,919",127.04,Andrea Carandini,0691163472, 0691163472, 978-0691163475,https://www.amazon.co.uk/Atlas-Ancient-Rome-Biography-Two/dp/0691163472/ref=sr_1_473?s=books&ie=UTF8&qid=1540478959&sr=1-473&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Palgrave Handbook of Political Economy,"697,139",161.44,Ivano Cardinale,1137442530, 1137442530, 978-1137442536,https://www.amazon.co.uk/Palgrave-Handbook-Political-Economy/dp/1137442530/ref=sr_1_472?s=books&ie=UTF8&qid=1540478959&sr=1-472&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Marco Pesaresi: Rimini,"622,336",217.87,Federico Fellini,8886982631, 8886982631, 978-8886982634,https://www.amazon.co.uk/Marco-Pesaresi-Rimini-Federico-Fellini/dp/8886982631/ref=sr_1_470?s=books&ie=UTF8&qid=1540478959&sr=1-470&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Accelerated Predictive Stability (APS): Fundamentals and Pharmaceutical Industry Practices,"481,394",111.24,Fenghe Qiu PhD,012802786X, 012802786X, 978-0128027868,https://www.amazon.co.uk/Accelerated-Predictive-Stability-APS-Pharmaceutical/dp/012802786X/ref=sr_1_467?s=books&ie=UTF8&qid=1540478959&sr=1-467&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Fish Processing,"662,192",117.57,George M. Hall,1405190477, 1405190477, 978-1405190473,https://www.amazon.co.uk/Fish-Processing-George-M-Hall/dp/1405190477/ref=sr_1_466?s=books&ie=UTF8&qid=1540478959&sr=1-466&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Kees Van Dongen,"562,000",253.25,Nathalie Bondil,2754102973, 2754102973, 978-2754102971,https://www.amazon.co.uk/Kees-Van-Dongen-Nathalie-Bondil/dp/2754102973/ref=sr_1_463?s=books&ie=UTF8&qid=1540478947&sr=1-463&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Holy Bible: Master's Presence Healing Bible (Bible Av),"411,590",133.67,Thomas Nelson Publishers,0785256822, 0785256822, 978-0785256823,https://www.amazon.co.uk/Holy-Bible-Masters-Presence-Healing/dp/0785256822/ref=sr_1_462?s=books&ie=UTF8&qid=1540478947&sr=1-462&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Fed-Batch Fermentation: A Practical Guide to Scalable Recombinant Protein Production in Escherichia Coli (Woodhead Publishing Series in Biomedicine),"463,780",113.76,G G Moulton,1907568921, 9781907568923, 978-1907568923,https://www.amazon.co.uk/Fed-Batch-Fermentation-Recombinant-Escherichia-Biomedicine/dp/1907568921/ref=sr_1_461?s=books&ie=UTF8&qid=1540478947&sr=1-461&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Watchmen,"619,969",135.00,"Alan & GIBBONS, David MOORE",B0036130VG,Not available,Not available,https://www.amazon.co.uk/Watchmen-Alan-GIBBONS-David-MOORE/dp/B0036130VG/ref=sr_1_457?s=books&ie=UTF8&qid=1540478947&sr=1-457&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Turbulent Combustion (Cambridge Monographs on Mechanics),"647,109",121.44,Norbert Peters,0521660823, 0521660823, 978-0521660822,https://www.amazon.co.uk/Turbulent-Combustion-Cambridge-Monographs-Mechanics/dp/0521660823/ref=sr_1_456?s=books&ie=UTF8&qid=1540478947&sr=1-456&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Plastic-esthetic Periodontal and Implant Surgery,"429,510",476.40,Otto Zuhr,1850972265, 1850972265, 978-1850972266,https://www.amazon.co.uk/Plastic-esthetic-Periodontal-Implant-Surgery-Otto/dp/1850972265/ref=sr_1_450?s=books&ie=UTF8&qid=1540478947&sr=1-450&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"The Routledge Companion to Consumer Behavior (Routledge Companions in Business, Management and Accounting)","626,320",135.72,Michael R. Solomon,1138695165, 9781138695160, 978-1138695160,https://www.amazon.co.uk/Routledge-Companion-Companions-Management-Accounting/dp/1138695165/ref=sr_1_447?s=books&ie=UTF8&qid=1540478928&sr=1-447&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Motion Planning for Humanoid Robots,"298,656",128.41,Kensuke Harada,1849962197, 9781849962193, 978-1849962193,https://www.amazon.co.uk/Motion-Planning-Humanoid-Robots-Kensuke/dp/1849962197/ref=sr_1_445?s=books&ie=UTF8&qid=1540478928&sr=1-445&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Measure Theory by Vladimir I. Bogachev (3-Nov-2006) Hardcover,"640,802",180.32,No Author Specified!!,B013ROSBCE,Not available,Not available,https://www.amazon.co.uk/Measure-Vladimir-Bogachev-3-Nov-2006-Hardcover/dp/B013ROSBCE/ref=sr_1_442?s=books&ie=UTF8&qid=1540478928&sr=1-442&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Neutron Scattering – Applications in Biology, Chemistry, and Materials Science: Volume 49 (Experimental Methods in the Physical Sciences)","634,031",185.95,Felix Fernandez-Alonso Dr.,0128053240, 0128053240, 978-0128053249,https://www.amazon.co.uk/Neutron-Scattering-Applications-Chemistry-Experimental/dp/0128053240/ref=sr_1_441?s=books&ie=UTF8&qid=1540478928&sr=1-441&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Nitric Oxide and Other Small Signalling Molecules: Volume 72 (Advances in Microbial Physiology),"301,069",147.09,Robert K. Poole,0128144130, 0128144130, 978-0128144138,https://www.amazon.co.uk/Nitric-Oxide-Other-Signalling-Molecules/dp/0128144130/ref=sr_1_439?s=books&ie=UTF8&qid=1540478928&sr=1-439&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Modernist Cuisine: The Art and Science of Cooking (6 Volume Set),"352,700",295.00,Nathan Myhrvold,0982761007, 0982761007, 978-0982761007,https://www.amazon.co.uk/Modernist-Cuisine-Art-Science-Cooking/dp/0982761007/ref=sr_1_435?s=books&ie=UTF8&qid=1540478928&sr=1-435&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Eleven Madison Park: The Next Chapter,"82,685",115.87,"Will Guidara (author), Francesco Tonelli (photographer), Janice Barnes (illustrator) Daniel Humm (author)",0399578358, 0399578358, 978-0399578359,https://www.amazon.co.uk/Eleven-Madison-Park-Next-Chapter/dp/0399578358/ref=sr_1_434?s=books&ie=UTF8&qid=1540478928&sr=1-434&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Hergé : Tome 2, 1931-1935","628,336",146.78,Philippe Goddin,2930284722, 2930284722, 978-2930284729,https://www.amazon.co.uk/Herg%C3%A9-2-1931-1935-Philippe-Goddin/dp/2930284722/ref=sr_1_433?s=books&ie=UTF8&qid=1540478928&sr=1-433&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Modernist Cuisine: The Art and Science of Cooking (6 Volume Set),"352,700",295.00,Nathan Myhrvold,0982761007, 0982761007, 978-0982761007,https://www.amazon.co.uk/Modernist-Cuisine-Art-Science-Cooking/dp/0982761007/ref=sr_1_431?s=books&ie=UTF8&qid=1540478915&sr=1-431&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Eleven Madison Park: The Next Chapter,"82,685",115.87,"Will Guidara (author), Francesco Tonelli (photographer), Janice Barnes (illustrator) Daniel Humm (author)",0399578358, 0399578358, 978-0399578359,https://www.amazon.co.uk/Eleven-Madison-Park-Next-Chapter/dp/0399578358/ref=sr_1_430?s=books&ie=UTF8&qid=1540478915&sr=1-430&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Meanings and Prototypes (RLE Linguistics B: Grammar): Studies in Linguistic Categorization (Routledge Library Editions: Linguistics),"329,904",208.89,S.L. Tsohatzidis,0415723736, 9780415723732, 978-0415723732,https://www.amazon.co.uk/Meanings-Prototypes-RLE-Linguistics-Categorization/dp/0415723736/ref=sr_1_429?s=books&ie=UTF8&qid=1540478915&sr=1-429&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Hergé : Tome 2, 1931-1935","628,336",146.78,Philippe Goddin,2930284722, 2930284722, 978-2930284729,https://www.amazon.co.uk/Herg%C3%A9-2-1931-1935-Philippe-Goddin/dp/2930284722/ref=sr_1_428?s=books&ie=UTF8&qid=1540478915&sr=1-428&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Polychromie Architecturale: Le Corbusiers Farbenklaviaturen von 1931 Und 1959 / Le Corbusier's Color Keyboards from 1931 and 1959 / Les Claviers de Couleurs de le Corbusier de 1931 et de 1959,"406,531",240.95,Arthur Ruegg,3035606617, 9783035606614, 978-3035606614,https://www.amazon.co.uk/Polychromie-Architecturale-Corbusiers-Farbenklaviaturen-Keyboards/dp/3035606617/ref=sr_1_427?s=books&ie=UTF8&qid=1540478915&sr=1-427&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Video Atlas of Oculofacial Plastic and Reconstructive Surgery, 2e","637,407",173.32,Bobby S Korn MD PhD FACS,0323297552, 0323297552, 978-0323297554,https://www.amazon.co.uk/Video-Oculofacial-Plastic-Reconstructive-Surgery/dp/0323297552/ref=sr_1_426?s=books&ie=UTF8&qid=1540478915&sr=1-426&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Diagnosis and Management of Ocular Motility Disorders,"400,925",132.42,Alec M. Ansons,1405193069, 1405193069, 978-1405193061,https://www.amazon.co.uk/Diagnosis-Management-Ocular-Motility-Disorders/dp/1405193069/ref=sr_1_424?s=books&ie=UTF8&qid=1540478915&sr=1-424&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Pitch: Neural Coding and Perception (Springer Handbook of Auditory Research),"359,303",108.69,Christopher J. Plack,0387234721, 9780387234724, 978-0387234724,https://www.amazon.co.uk/Pitch-Perception-Springer-Handbook-Auditory/dp/0387234721/ref=sr_1_422?s=books&ie=UTF8&qid=1540478915&sr=1-422&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Barrington Atlas of the Greek and Roman World,"423,301",258.00,Richard J.A. Talbert,069103169X, 069103169X, 978-0691031699,https://www.amazon.co.uk/Barrington-Atlas-Greek-Roman-World/dp/069103169X/ref=sr_1_421?s=books&ie=UTF8&qid=1540478915&sr=1-421&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Illustrated Veterinary Anatomical Nomenclature,"507,629",104.08,Oskar Schaller,3132425176, 3132425176, 978-3132425170,https://www.amazon.co.uk/Illustrated-Veterinary-Anatomical-Nomenclature-Schaller/dp/3132425176/ref=sr_1_417?s=books&ie=UTF8&qid=1540478915&sr=1-417&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Avengers by Jonathan Hickman Omnibus Vol. 1,"274,327",297.26,Jonathan Hickman,1302907085, 9781302907082, 978-1302907082,https://www.amazon.co.uk/Avengers-Jonathan-Hickman-Omnibus-Vol/dp/1302907085/ref=sr_1_415?s=books&ie=UTF8&qid=1540478899&sr=1-415&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Measuring Ocean Currents: Tools, Technologies, and Data","554,826",132.72,Antony Joseph,0124159907, 0124159907, 978-0124159907,https://www.amazon.co.uk/Measuring-Ocean-Currents-Tools-Technologies/dp/0124159907/ref=sr_1_409?s=books&ie=UTF8&qid=1540478899&sr=1-409&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
An Artistic Exile: A Life of Feng Zikai (1898-1975) (Asia: Local Studies/Global Themes),"385,007",162.49,Geremie R Barme,0520208323, 0520208323, 978-0520208322,https://www.amazon.co.uk/Artistic-Exile-1898-1975-Studies-Global/dp/0520208323/ref=sr_1_396?s=books&ie=UTF8&qid=1540478884&sr=1-396&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Paul Wilmott on Quantitative Finance 2nd Edition,"252,997",114.00,Paul Wilmott,0470018704, 0470018704, 978-0470018705,https://www.amazon.co.uk/Paul-Wilmott-Quantitative-Finance-2nd/dp/0470018704/ref=sr_1_393?s=books&ie=UTF8&qid=1540478884&sr=1-393&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Clinical Periodontology and Implant Dentistry,"301,345",127.86,Niklaus P. Lang,047067248X, 047067248X, 978-0470672488,https://www.amazon.co.uk/Clinical-Periodontology-Implant-Dentistry-Niklaus/dp/047067248X/ref=sr_1_392?s=books&ie=UTF8&qid=1540478884&sr=1-392&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Legal Fictions (Supplements to the Journal for the Study of Judaism),"513,059",185.62,Steven Fraade,9004201092, 9004201092, 978-9004201095,https://www.amazon.co.uk/Legal-Fictions-Supplements-Journal-Judaism/dp/9004201092/ref=sr_1_387?s=books&ie=UTF8&qid=1540478884&sr=1-387&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Legal Fictions (Supplements to the Journal for the Study of Judaism),"513,059",185.62,Steven Fraade,9004201092, 9004201092, 978-9004201095,https://www.amazon.co.uk/Legal-Fictions-Supplements-Journal-Judaism/dp/9004201092/ref=sr_1_382?s=books&ie=UTF8&qid=1540478866&sr=1-382&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Thor: Heroes Return Omnibus Vol. 2,"319,674",105.47,Dan Jurgens,1302913611, 1302913611, 978-1302913618,https://www.amazon.co.uk/Thor-Heroes-Return-Omnibus-Vol/dp/1302913611/ref=sr_1_378?s=books&ie=UTF8&qid=1540478866&sr=1-378&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Sugarcane: Physiology, Biochemistry and Functional Biology (World Agriculture Series)","483,410",141.47,Paul H. Moore,0813821215, 9780813821214, 978-0813821214,https://www.amazon.co.uk/Sugarcane-Physiology-Biochemistry-Functional-Agriculture/dp/0813821215/ref=sr_1_376?s=books&ie=UTF8&qid=1540478866&sr=1-376&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Guide to the General Data Protection Regulation: A Companion to Data Protection Law and Practice,"247,288",224.20,Rosemary Jay,0414061012, 9780414061019, 978-0414061019,https://www.amazon.co.uk/Guide-General-Data-Protection-Regulation/dp/0414061012/ref=sr_1_372?s=books&ie=UTF8&qid=1540478866&sr=1-372&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Bonded Porcelain Restorations in the Anterior Dentition: A Biomimetic Approach,"371,690",145.00,Magne Pascal,0867154225, 9780867154221, 978-0867154221,https://www.amazon.co.uk/Bonded-Porcelain-Restorations-Anterior-Dentition/dp/0867154225/ref=sr_1_371?s=books&ie=UTF8&qid=1540478866&sr=1-371&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Veterinary Acupuncture: Ancient Art to Modern Medicine, 2e","296,423",139.39,Allen M. Schoen DVM  MS,032300945X, 032300945X, 978-0323009454,https://www.amazon.co.uk/Veterinary-Acupuncture-Ancient-Modern-Medicine/dp/032300945X/ref=sr_1_367?s=books&ie=UTF8&qid=1540478847&sr=1-367&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Comprehensive Clinical Nephrology, 6e","413,405",163.43,Richard J. Johnson MD,032347909X, 9780323479097, 978-0323479097,https://www.amazon.co.uk/Comprehensive-Clinical-Nephrology-Richard-Johnson/dp/032347909X/ref=sr_1_365?s=books&ie=UTF8&qid=1540478847&sr=1-365&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Sales (Principles of European Law),"365,375",108.00,Hanna Sivesand,3935808615, 3935808615, 978-3935808613,https://www.amazon.co.uk/Sales-Principles-European-Hanna-Sivesand/dp/3935808615/ref=sr_1_364?s=books&ie=UTF8&qid=1540478847&sr=1-364&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Fashionable Savages,"733,166",964.83,John Fairchild,B0007DZAMI,Not available,Not available,https://www.amazon.co.uk/Fashionable-Savages-John-Fairchild/dp/B0007DZAMI/ref=sr_1_360?s=books&ie=UTF8&qid=1540478847&sr=1-360&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Textbook of Diabetes,"351,273",105.75,Richard I. G. Holt,1118912020, 9781118912027, 978-1118912027,https://www.amazon.co.uk/Textbook-Diabetes-Richard-I-Holt/dp/1118912020/ref=sr_1_355?s=books&ie=UTF8&qid=1540478847&sr=1-355&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Textbook of Diabetes,"351,273",105.75,Richard I. G. Holt,1118912020, 9781118912027, 978-1118912027,https://www.amazon.co.uk/Textbook-Diabetes-Richard-I-Holt/dp/1118912020/ref=sr_1_347?s=books&ie=UTF8&qid=1540478831&sr=1-347&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Complete Poems of Idris Davies,"599,029",163.37,Idris Davies,0708312721, 0708312721, 978-0708312728,https://www.amazon.co.uk/Complete-Poems-Idris-Davies/dp/0708312721/ref=sr_1_343?s=books&ie=UTF8&qid=1540478831&sr=1-343&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Die Asiatische Hydra (Veraffentlichungen der Historischen Kommission Zu Berlin),"325,336",192.05,Barbara Dettke,311014493X, 311014493X, 978-3110144932,https://www.amazon.co.uk/Asiatische-Veraffentlichungen-Historischen-Kommission-Berlin/dp/311014493X/ref=sr_1_341?s=books&ie=UTF8&qid=1540478831&sr=1-341&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Superconductivity: Basics and Applications to Magnets (Springer Series in Materials Science),"377,946",153.96,R.G. Sharma,3319137123, 3319137123, 978-3319137124,https://www.amazon.co.uk/Superconductivity-Applications-Magnets-Springer-Materials/dp/3319137123/ref=sr_1_338?s=books&ie=UTF8&qid=1540478831&sr=1-338&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Spon's External Works and Landscape Price Book 2019 (Spon's Price Books),"79,894",180.76,AECOM,1138612030, 1138612030, 978-1138612037,https://www.amazon.co.uk/Spons-External-Works-Landscape-Price/dp/1138612030/ref=sr_1_335?s=books&ie=UTF8&qid=1540478814&sr=1-335&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Encyclopedia of Psychoactive Plants: Ethnopharmacology and Its Applications,"346,542",101.47,Christian Rätsch,0892819782, 0892819782, 978-0892819782,https://www.amazon.co.uk/Encyclopedia-Psychoactive-Plants-Ethnopharmacology-Applications/dp/0892819782/ref=sr_1_333?s=books&ie=UTF8&qid=1540478814&sr=1-333&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Veterinary Medicine: A textbook of the diseases of cattle, horses, sheep, pigs and goats - two-volume set, 11e","327,091",142.90,Peter D. Constable BVSc  MS  PhD  Dipl ACVIM,0702052469, 9780702052460, 978-0702052460,https://www.amazon.co.uk/Veterinary-Medicine-textbook-diseases-two/dp/0702052469/ref=sr_1_332?s=books&ie=UTF8&qid=1540478814&sr=1-332&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Ai Weiwei - Beijing 10/2003,"466,585",202.49,Ai Weiwei,9889726211, 9889726211, 978-9889726218,https://www.amazon.co.uk/Ai-Weiwei-Beijing-10-2003/dp/9889726211/ref=sr_1_330?s=books&ie=UTF8&qid=1540478814&sr=1-330&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Molecular Biology of the Cell,"49,689",125.56,Bruce Alberts,0815344325, 9780815344322, 978-0815344322,https://www.amazon.co.uk/Molecular-Biology-Cell-Bruce-Alberts/dp/0815344325/ref=sr_1_328?s=books&ie=UTF8&qid=1540478814&sr=1-328&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Long-Memory Processes: Probabilistic Properties and Statistical Methods,"552,946",126.03,Jan Beran,3642355110, 3642355110, 978-3642355110,https://www.amazon.co.uk/Long-Memory-Processes-Probabilistic-Properties-Statistical/dp/3642355110/ref=sr_1_324?s=books&ie=UTF8&qid=1540478814&sr=1-324&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Red Book: Liber Novus (Philemon),"89,749",159.27,CG Jung,0393065677, 9780393065671, 978-0393065671,https://www.amazon.co.uk/Red-Book-Liber-Novus-Philemon/dp/0393065677/ref=sr_1_323?s=books&ie=UTF8&qid=1540478814&sr=1-323&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Messianic Revelation in the Old Testament,"587,331",103.55,Gerald Van Groningen,0801093074, 0801093074, 978-0801093074,https://www.amazon.co.uk/Messianic-Revelation-Testament-Gerald-Groningen/dp/0801093074/ref=sr_1_322?s=books&ie=UTF8&qid=1540478814&sr=1-322&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Patek Philippe,"373,682",105.51,Nicholas Foulkes,1848094620, 1848094620, 978-1848094628,https://www.amazon.co.uk/Patek-Philippe-Nicholas-Foulkes/dp/1848094620/ref=sr_1_319?s=books&ie=UTF8&qid=1540478793&sr=1-319&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Skilled Helper: A Problem-Management and Opportunity-Development Approach to Helping (Hse 123 Interviewing Techniques),"217,377",165.91,Gerard Egan,1305865715, 1305865715, 978-1305865716,https://www.amazon.co.uk/Skilled-Helper-Problem-Management-Opportunity-Development-Interviewing/dp/1305865715/ref=sr_1_318?s=books&ie=UTF8&qid=1540478793&sr=1-318&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Aviation Project Management,"492,298",102.15,Triant G. Flouris,0754673952, 0754673952, 978-0754673958,https://www.amazon.co.uk/Aviation-Project-Management-Triant-Flouris/dp/0754673952/ref=sr_1_314?s=books&ie=UTF8&qid=1540478793&sr=1-314&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Sponsorship and the world of motor racing,"678,526",300.00,Guy Edwards,0905138953, 0905138953, 978-0905138954,https://www.amazon.co.uk/Sponsorship-world-motor-racing-Edwards/dp/0905138953/ref=sr_1_310?s=books&ie=UTF8&qid=1540478793&sr=1-310&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Like an Everlasting Signet Ring (Deuterocanonical and Cognate Literature Studies),"456,198",181.11,Bradley Gregory,311022366X, 311022366X, 978-3110223668,https://www.amazon.co.uk/Everlasting-Deuterocanonical-Cognate-Literature-Studies/dp/311022366X/ref=sr_1_306?s=books&ie=UTF8&qid=1540478793&sr=1-306&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
