Title,BSR,Price in £ (starting from),Author,Book Type,ASIN,ISBN-10,ISBN-13,URL
By VARIOUS - Fireman Sam's Favourite Tales: Story Collection,"6,143,155","1,999.00",VARIOUS,Hardcover,B00I62JDG6,Not available,Not available,https://www.amazon.co.uk/VARIOUS-Fireman-Favourite-Tales-Collection/dp/B00I62JDG6/ref=sr_1_96?s=books&ie=UTF8&qid=1540641239&sr=1-96&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A199900-200000
Rainforest Plants of Eastern Australia,"8,274,429","2,000.00",Steve Pearson,Hardcover,0864174748, 0864174748, 978-0864174741,https://www.amazon.co.uk/Rainforest-Plants-Eastern-Australia-Pearson/dp/0864174748/ref=sr_1_384?s=books&ie=UTF8&qid=1540641539&sr=1-384&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A199900-200000
Glass Flame,"6,442,096","1,999.99",Phyllis A. Whitney,Hardcover,0434865001, 0434865001, 978-0434865000,https://www.amazon.co.uk/Glass-Flame-Phyllis-Whitney/dp/0434865001/ref=sr_1_544?s=books&ie=UTF8&qid=1540641713&sr=1-544&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A199900-200000
Urban Land Reform in China,"8,832,953","2,000.00",Ling-Hin Li,Hardcover,0312219725, 0312219725, 978-0312219727,https://www.amazon.co.uk/Urban-Land-Reform-China-Ling-Hin/dp/0312219725/ref=sr_1_767?s=books&ie=UTF8&qid=1540641947&sr=1-767&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A199900-200000
Journal of Arnold Bennett: 1896-1910 (Collected Works of Arnold Bennett),"6,907,425","2,000.00",Arnold Bennett,Hardcover,0518191184, 0518191184, 978-0518191186,https://www.amazon.co.uk/Journal-Arnold-Bennett-1896-1910-Collected/dp/0518191184/ref=sr_1_747?s=books&ie=UTF8&qid=1540641934&sr=1-747&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A199900-200000
Practical Approaches to Cons of Bio Diversity,"4,921,696","2,000.00",Baydack,Hardcover,1559635436, 1559635436, 978-1559635431,https://www.amazon.co.uk/Practical-Approaches-Cons-Bio-Diversity/dp/1559635436/ref=sr_1_693?s=books&ie=UTF8&qid=1540641880&sr=1-693&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A199900-200000
British Birds with Their Nests and Eggs; SIX VOLUME SET.,"8,660,158","1,999.00",Arthur G. Butler et al,Hardcover,B002DGWDE0,Not available,Not available,https://www.amazon.co.uk/British-Birds-Their-Nests-Eggs/dp/B002DGWDE0/ref=sr_1_678?s=books&ie=UTF8&qid=1540641864&sr=1-678&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A199900-200000
"Engineering Design A Systematic Approach by Grote, Karl-Heinrich (Universitat Magdeburg) ( AUTHOR ) Dec-12-2006 Hardback","9,164,246","1,999.00",Karl-Heinrich (Universitat Magdeburg) Grote,Hardcover,B0068HAY2S,Not available,Not available,https://www.amazon.co.uk/Engineering-Systematic-Karl-Heinrich-Universitat-Dec-12-2006/dp/B0068HAY2S/ref=sr_1_675?s=books&ie=UTF8&qid=1540641864&sr=1-675&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A199900-200000
Hydrolate: Sanfte Heilkr?fte aus dem Pflanzenwasser (Hardback)(German) - Common,"8,175,365","1,999.00",By (author) Ingrid Kleindienst-John,Hardcover,B00FKYRM0C,Not available,Not available,https://www.amazon.co.uk/Hydrolate-Sanfte-Heilkr-Pflanzenwasser-Hardback/dp/B00FKYRM0C/ref=sr_1_669?s=books&ie=UTF8&qid=1540641846&sr=1-669&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A199900-200000
Walks from Keswick (Lake District) by HandiHikes Ltd (2011) Hardcover,"6,626,363","1,999.00",No Author Specified!!,Hardcover,B00XDGQOZI,Not available,Not available,https://www.amazon.co.uk/Walks-Keswick-District-HandiHikes-Hardcover/dp/B00XDGQOZI/ref=sr_1_647?s=books&ie=UTF8&qid=1540641831&sr=1-647&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A199900-200000
"[(Bumfodder: An Absorbing History of Toilet Paper)] [Author: Richard Smyth] published on (April, 2013)","6,070,834","1,999.00",Richard Smyth,Hardcover,B00XWXWK7I,Not available,Not available,https://www.amazon.co.uk/Bumfodder-Absorbing-History-Richard-published/dp/B00XWXWK7I/ref=sr_1_646?s=books&ie=UTF8&qid=1540641831&sr=1-646&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A199900-200000
