Title,BSR,Price in £ (starting from),Author,Book Type,ASIN,ISBN-10,ISBN-13,URL
Incident at Butler's Station (Black Horse Western),"9,143,301","2,125.99",Richard Wyler,Hardcover,0709075839, 0709075839, 978-0709075837,https://www.amazon.co.uk/Incident-Butlers-Station-Black-Western/dp/0709075839/ref=sr_1_260?s=books&ie=UTF8&qid=1540748088&sr=1-260&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Pioneers of Modern Craft: Twelve Essays Profiling Key Figures in the History of Contemporary Crafts (Studies in Design and Material Culture),"3,573,976","2,000.00",Margot Coatts,Hardcover,0719050588, 0719050588, 978-0719050589,https://www.amazon.co.uk/Pioneers-Modern-Craft-Profiling-Contemporary/dp/0719050588/ref=sr_1_259?s=books&ie=UTF8&qid=1540748088&sr=1-259&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
And in the Morning,"9,932,603","2,485.81",Graeme Hague,Hardcover,0731811143, 0731811143, 978-0731811144,https://www.amazon.co.uk/Morning-Graeme-Hague/dp/0731811143/ref=sr_1_257?s=books&ie=UTF8&qid=1540748088&sr=1-257&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Danger of Being a Gentleman and Other Essays,"9,279,988","2,304.78",Harold Joseph Laski,Hardcover,0836928490, 0836928490, 978-0836928495,https://www.amazon.co.uk/Danger-Being-Gentleman-Other-Essays/dp/0836928490/ref=sr_1_232?s=books&ie=UTF8&qid=1540748053&sr=1-232&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Complete Book of Silk Screen Printing Production,"9,181,412","2,000.00",J. I. Biegeleisen,Hardcover,084461677X, 084461677X, 978-0844616773,https://www.amazon.co.uk/Complete-Book-Screen-Printing-Production/dp/084461677X/ref=sr_1_226?s=books&ie=UTF8&qid=1540748053&sr=1-226&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
The Making of an Atlantic Ruling Class,"9,888,250","2,184.15",Kees van der Pijl,Hardcover,0860910938, 0860910938, 978-0860910930,https://www.amazon.co.uk/Making-Atlantic-Ruling-Class/dp/0860910938/ref=sr_1_220?s=books&ie=UTF8&qid=1540748033&sr=1-220&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Self in Social Psychology: Key Readings: Essential Readings (Key Readings in Social Psychology),"9,645,972","2,184.18",Roy F. Baumeister,Hardcover,0863775721, 0863775721, 978-0863775727,https://www.amazon.co.uk/Self-Social-Psychology-Readings-Essential/dp/0863775721/ref=sr_1_215?s=books&ie=UTF8&qid=1540748033&sr=1-215&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
The Rains Came: A Novel of Modern India,"4,746,614","2,000.00",Louis Bromfield,Hardcover,0884115054, 0884115054, 978-0884115052,https://www.amazon.co.uk/Rains-Came-Novel-Modern-India/dp/0884115054/ref=sr_1_213?s=books&ie=UTF8&qid=1540748033&sr=1-213&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Panic: A Leopold Blake Thriller,"8,063,698","2,069.84",Nick Stephenson,Hardcover,0957616716, 0957616716, 978-0957616714,https://www.amazon.co.uk/Panic-Leopold-Thriller-Nick-Stephenson/dp/0957616716/ref=sr_1_211?s=books&ie=UTF8&qid=1540748033&sr=1-211&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
"Race, Evolution and Behavior : A Life History Perspective","8,809,976","2,428.84",J. Philippe Rushton,Hardcover,0965683605, 0965683605, 978-0965683609,https://www.amazon.co.uk/Race-Evolution-Behavior-History-Perspective/dp/0965683605/ref=sr_1_210?s=books&ie=UTF8&qid=1540748033&sr=1-210&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
"Fluid, Electrolyte and Acid-Base Disorders in Small Animal Practice - Text and VETERINARY CONSULT Package","7,632,729","2,230.99",Stephen P. DiBartola DVM  DACVIM,Hardcover,1416064400, 1416064400, 978-1416064404,https://www.amazon.co.uk/Electrolyte-Acid-Base-Disorders-Animal-Practice/dp/1416064400/ref=sr_1_201?s=books&ie=UTF8&qid=1540748014&sr=1-201&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Ancient Board Games,"6,896,870","2,475.01",Irving Finkel,Hardcover,1556706588, 1556706588, 978-1556706585,https://www.amazon.co.uk/Ancient-Board-Games-Irving-Finkel/dp/1556706588/ref=sr_1_195?s=books&ie=UTF8&qid=1540748014&sr=1-195&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Scramble For Africa,"6,646,436","2,020.99",Thomas Pakenham,Hardcover,184212448X, 184212448X, 978-1842124482,https://www.amazon.co.uk/Scramble-Africa-Thomas-Pakenham/dp/184212448X/ref=sr_1_188?s=books&ie=UTF8&qid=1540747995&sr=1-188&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
"(Practical Praying: Using the Rosary to Enhance Your Life [With CD (Audio)]) By Edward, John (Author) Hardcover on 04-May-2010","8,137,407","2,000.00",John Lewis Burckhardt,Hardcover,B005M967VK,Not available,Not available,https://www.amazon.co.uk/Practical-Praying-Enhance-Hardcover-04-May-2010/dp/B005M967VK/ref=sr_1_163?s=books&ie=UTF8&qid=1540747976&sr=1-163&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
The Wind in the Willows Centenary Edition,"7,822,742","2,499.99",Kenneth Grahame,Hardcover,B005XLVRTE,Not available,Not available,https://www.amazon.co.uk/Wind-Willows-Centenary-Kenneth-Grahame/dp/B005XLVRTE/ref=sr_1_162?s=books&ie=UTF8&qid=1540747976&sr=1-162&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
The Road to Wigan Pier,"1,293,212","2,128.99",George Orwell,Hardcover,1849025916, 1849025916, 978-1849025911,https://www.amazon.co.uk/Road-Wigan-Pier-George-Orwell/dp/1849025916/ref=sr_1_101?s=books&ie=UTF8&qid=1540747915&sr=1-101&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
"England's Dreaming: The ""Sex Pistols"" and Punk Rock by Savage, Jon ( 1992 )","1,502,707","2,000.00",Unnamed,Hardcover,B00E31OSXC,Not available,Not available,https://www.amazon.co.uk/Englands-Dreaming-Pistols-Punk-Savage/dp/B00E31OSXC/ref=sr_1_98?s=books&ie=UTF8&qid=1540747915&sr=1-98&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
"The Beginnings of Rome, 753-264 B.C. (The Routledge History of the Ancient World)","4,380,136","2,000.00",Tim Cornell,Hardcover,0415015952, 0415015952, 978-0415015950,https://www.amazon.co.uk/Beginnings-753-264-Routledge-History-Ancient/dp/0415015952/ref=sr_1_95?s=books&ie=UTF8&qid=1540747898&sr=1-95&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Kindergarten is Too Late!,"4,163,480","2,000.99",Masaru Ibuka,Hardcover,0671240366, 0671240366, 978-0671240363,https://www.amazon.co.uk/Kindergarten-Too-Late-Masaru-Ibuka/dp/0671240366/ref=sr_1_92?s=books&ie=UTF8&qid=1540747898&sr=1-92&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
"A Survey of Medieval Winchester: Part I, II &III (in two volumes): Pt.1 & 2 (Winchester Studies 2)","3,719,600","2,408.99",Derek Keene,Hardcover,019813181X, 019813181X, 978-0198131816,https://www.amazon.co.uk/Survey-Medieval-Winchester-volumes-Studies/dp/019813181X/ref=sr_1_83?s=books&ie=UTF8&qid=1540747898&sr=1-83&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Principles of Transistor Circuits,"2,697,901","2,324.98",S.W. Amos,Hardcover,0592028356, 0592028356, 978-0592028354,https://www.amazon.co.uk/Principles-Transistor-Circuits-S-W-Amos/dp/0592028356/ref=sr_1_76?s=books&ie=UTF8&qid=1540747878&sr=1-76&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Pancakes and Prangs - Twentieth-Century Military Aircraft Accidents in Shropshire,"1,375,443","2,300.99",Thomas Thorne,Hardcover,184494087X, 184494087X, 978-1844940875,https://www.amazon.co.uk/Pancakes-Prangs-Twentieth-Century-Accidents-Shropshire/dp/184494087X/ref=sr_1_72?s=books&ie=UTF8&qid=1540747878&sr=1-72&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
"The Zondervan Encyclopedia of the Bible, Volume 2, D-G","3,472,474","2,086.39",No Author Specified!!,Hardcover,0310241324, 0310241359, 978-0310241324,https://www.amazon.co.uk/Zondervan-Encyclopedia-Bible-D-G/dp/0310241324/ref=sr_1_71?s=books&ie=UTF8&qid=1540747878&sr=1-71&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
"Kriegstagebuch der Seekriegsleitung, 1939-1945","3,961,150","2,057.70",Germany,Hardcover,3813206017, 3813206017, 978-3813206012,https://www.amazon.co.uk/Kriegstagebuch-Seekriegsleitung-1939-1945-Germany/dp/3813206017/ref=sr_1_66?s=books&ie=UTF8&qid=1540747878&sr=1-66&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Compendium on ERTMS: European Rail Traffic Management System,"1,296,677","2,121.00",Peter Winter,Hardcover,3777103969, 3777103969, 978-3777103969,https://www.amazon.co.uk/Compendium-ERTMS-European-Traffic-Management/dp/3777103969/ref=sr_1_65?s=books&ie=UTF8&qid=1540747878&sr=1-65&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
My Magnetic Counting Book: Ten Dancing Dinosaurs with Magnet(s) (Magnix Learning Fun),"3,341,811","2,104.99",Bill Bolton,Hardcover,1932915168, 1932915168, 978-1932915167,https://www.amazon.co.uk/My-Magnetic-Counting-Book-Dinosaurs/dp/1932915168/ref=sr_1_63?s=books&ie=UTF8&qid=1540747866&sr=1-63&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
The Architecture of Sir Edwin Lutyens (The Lutyens memorial),"2,590,182","2,430.49",A.S.G. Bulter,Hardcover,0907462723, 0907462723, 978-0907462729,https://www.amazon.co.uk/Architecture-Sir-Edwin-Lutyens-memorial/dp/0907462723/ref=sr_1_45?s=books&ie=UTF8&qid=1540747846&sr=1-45&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Growing Smarter,"2,621,960","2,234.99",Judith V. T. Wilson,Hardcover,0991244281, 0991244281, 978-0991244287,https://www.amazon.co.uk/Growing-Smarter-Judith-V-Wilson/dp/0991244281/ref=sr_1_35?s=books&ie=UTF8&qid=1540747846&sr=1-35&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Great Books of the Western World,"1,331,515","2,362.34",Mortimer J. Adler,Hardcover,0852295316, 0852295316, 978-0852295311,https://www.amazon.co.uk/Great-Books-Western-World-Mortimer/dp/0852295316/ref=sr_1_34?s=books&ie=UTF8&qid=1540747846&sr=1-34&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Kinslayer: Gotrek & Felix,"959,825","2,287.99",David Guymer,Hardcover,1849707294, 1849707294, 978-1849707299,https://www.amazon.co.uk/Kinslayer-Gotrek-Felix-David-Guymer/dp/1849707294/ref=sr_1_21?s=books&ie=UTF8&qid=1540747829&sr=1-21&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Vanity Fair Portraits: A Century of Iconic Images,"956,685","2,344.99",Graydon Carter,Hardcover,1855143925, 1855143925, 978-1855143920,https://www.amazon.co.uk/Vanity-Fair-Portraits-Century-Iconic/dp/1855143925/ref=sr_1_15/262-3364196-8420630?s=books&ie=UTF8&qid=1540747816&sr=1-15&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Tasting India,"1,120,210","2,010.00",Christine Mansfield,Hardcover,1920989927, 1920989927, 978-1920989927,https://www.amazon.co.uk/Tasting-India-Christine-Mansfield/dp/1920989927/ref=sr_1_14/262-3364196-8420630?s=books&ie=UTF8&qid=1540747816&sr=1-14&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
"Decentralization with Profibus DP/DPV1: Architecture and Fundamentals, Configuration and Use with SIMATIC S7","1,435,826","2,490.00",Josef Weigmann,Hardcover,3895782181, 3895782181, 978-3895782183,https://www.amazon.co.uk/Decentralization-Profibus-DPV1-Architecture-Configuration/dp/3895782181/ref=sr_1_8/262-3364196-8420630?s=books&ie=UTF8&qid=1540747816&sr=1-8&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Dario Villalba: Una Vision Antologica 1957-2007,"1,048,332","2,423.95",Maria Luisa Martin de Argila,Hardcover,8480263229, 8480263229, 978-8480263221,https://www.amazon.co.uk/Dario-Villalba-Vision-Antologica-1957-2007/dp/8480263229/ref=sr_1_5/262-3364196-8420630?s=books&ie=UTF8&qid=1540747816&sr=1-5&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Doctor Who and the Planet of the Spiders (Longbow series),"443,367","2,042.99",Terrance Dicks,Hardcover,0855230533, 0855230533, 978-0855230531,https://www.amazon.co.uk/Doctor-Who-Planet-Spiders-Longbow/dp/0855230533/ref=sr_1_3/262-3364196-8420630?s=books&ie=UTF8&qid=1540747816&sr=1-3&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
