Title,BSR,Price in £ (starting from),Author,Book Type,ASIN,ISBN-10,ISBN-13,URL
The Collected Works of D. W. Winnicott: 12-Volume Set,"849,180","1,297.47",Lesley Caldwell,Hardcover,0199399336, 9780199399338, 978-0199399338,https://www.amazon.co.uk/Collected-Works-D-Winnicott-12/dp/0199399336/ref=sr_1_16/261-3683899-8958302?s=books&ie=UTF8&qid=1540501501&sr=1-16&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A100000-200000
A History of Penleigh,"460,338","1,587.99",Fred Davis,Hardcover,0957087802, 0957087802, 978-0957087804,https://www.amazon.co.uk/History-Penleigh-Fred-Davis/dp/0957087802/ref=sr_1_32?s=books&ie=UTF8&qid=1540501513&sr=1-32&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A100000-200000
X-Rays in Theory and Experiment 2nd Edition,"625,723","1,027.37",Arthur Holly Compton,Hardcover,B0011D4AJM,Not available,Not available,https://www.amazon.co.uk/X-Rays-Theory-Experiment-Arthur-Compton/dp/B0011D4AJM/ref=sr_1_112?s=books&ie=UTF8&qid=1540501606&sr=1-112&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A100000-200000
What is a Masterpiece? (W.Neurath Memorial Lecture),"811,712","1,248.13",Sir Kenneth Clark,Hardcover,0500550115, 0500550115, 978-0500550113,https://www.amazon.co.uk/What-Masterpiece-W-Neurath-Memorial-Lecture/dp/0500550115/ref=sr_1_176?s=books&ie=UTF8&qid=1540501678&sr=1-176&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A100000-200000
First Blood,"833,007","1,657.35",David Morrell,Hardcover,0747204837, 0747204837, 978-0747204831,https://www.amazon.co.uk/First-Blood-David-Morrell/dp/0747204837/ref=sr_1_192?s=books&ie=UTF8&qid=1540501692&sr=1-192&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A100000-200000
Pinstripe Planet,"926,087","1,522.99",Herb Martinez,Hardcover,0955339804, 0955339804, 978-0955339806,https://www.amazon.co.uk/Pinstripe-Planet-Herb-Martinez/dp/0955339804/ref=sr_1_240?s=books&ie=UTF8&qid=1540501742&sr=1-240&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A100000-200000
MacGillivray on Insurance Law,"1,013,734","1,229.98",Nicholas Legh-Jones,Hardcover,184703053X, 184703053X, 978-1847030535,https://www.amazon.co.uk/MacGillivray-Insurance-Law-Nicholas-Legh-Jones/dp/184703053X/ref=sr_1_352?s=books&ie=UTF8&qid=1540501870&sr=1-352&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A100000-200000
Tyne Tunnels,"810,295","1,381.99",Tamsin Greulich,Hardcover,1908695420, 1908695420, 978-1908695420,https://www.amazon.co.uk/Tyne-Tunnels-Tamsin-Greulich/dp/1908695420/ref=sr_1_368?s=books&ie=UTF8&qid=1540501886&sr=1-368&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A100000-200000
"The English Village Constable, 1580-1642: A Social and Administrative Study","1,261,357","1,611.57",Joan R. Kent,Hardcover,0198229135, 0198229135, 978-0198229131,https://www.amazon.co.uk/English-Village-Constable-1580-1642-Administrative/dp/0198229135/ref=sr_1_416?s=books&ie=UTF8&qid=1540501934&sr=1-416&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A100000-200000
Useful Formulae,"1,459,824","1,818.77",Mathew Watkins,Hardcover,1902418107, 1902418107, 978-1902418100,https://www.amazon.co.uk/Useful-Formulae-Mathew-Watkins/dp/1902418107/ref=sr_1_560?s=books&ie=UTF8&qid=1540502085&sr=1-560&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A100000-200000
Bullen & Leake & Jacob's Precedents of Pleadings (Common Law Library),"1,474,288","1,657.05",Lord Dan Brennan,Hardcover,0414047753, 0414047753, 978-0414047754,https://www.amazon.co.uk/Bullen-Jacobs-Precedents-Pleadings-Library/dp/0414047753/ref=sr_1_1108?s=books&ie=UTF8&qid=1540502692&sr=1-1108&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A100000-200000
The Power in the Land,"1,181,696","1,203.18",Fred Harrison,Hardcover,0856830674, 9780856830679, 978-0856830679,https://www.amazon.co.uk/Power-Land-Fred-Harrison/dp/0856830674/ref=sr_1_1091?s=books&ie=UTF8&qid=1540502672&sr=1-1091&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A100000-200000
Thinking Security: Stopping Next Year's Hackers (Addison-Wesley Professional Computing),"977,575","1,625.82",Steven M. Bellovin,Hardcover,0134277546, 0134277546, 978-0134277547,https://www.amazon.co.uk/Thinking-Security-Addison-Wesley-Professional-Computing/dp/0134277546/ref=sr_1_1052?s=books&ie=UTF8&qid=1540502619&sr=1-1052&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A100000-200000
The Parson's Pocket Book 2018 2018,"598,962","1,101.28",Paul Wood,Hardcover,1909134198, 1909134198, 978-1909134195,https://www.amazon.co.uk/Parsons-Pocket-Book-2018/dp/1909134198/ref=sr_1_1039?s=books&ie=UTF8&qid=1540502603&sr=1-1039&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A100000-200000
