Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL
The Secret History of the Mongols: A Mongolian Epic Chronicle of the Thirteenth Century,"780,346",146.26,Igor de Rachewiltz,Paperback,9004153640, 9004153640, 978-9004153646,https://www.amazon.co.uk/Secret-History-Mongols-Mongolian-Thirteenth/dp/9004153640/ref=sr_1_1156?s=books&ie=UTF8&qid=1540506425&sr=1-1156&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Systemic Couple Therapy and Depression (Systemic Thinking & Practice),"381,680",104.46,Eia Asen,Paperback,1855752212, 1855752212, 978-1855752214,https://www.amazon.co.uk/Systemic-Therapy-Depression-Thinking-Practice/dp/1855752212/ref=sr_1_1153?s=books&ie=UTF8&qid=1540506425&sr=1-1153&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Big English Plus 3 Pupils' Book with MyEnglishLab Access Code Pack,"582,481",452.99,Mario Herrera,Paperback,1447990277, 9781447990277, 978-1447990277,https://www.amazon.co.uk/English-Plus-Pupils-MyEnglishLab-Access/dp/1447990277/ref=sr_1_1148?s=books&ie=UTF8&qid=1540506405&sr=1-1148&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Neural Networks: A Comprehensive Foundation (International Edition),"582,562",115.78,Simon O. Haykin,Paperback,0139083855, 0139083855, 978-0139083853,https://www.amazon.co.uk/Neural-Networks-Comprehensive-Foundation-International/dp/0139083855/ref=sr_1_1142?s=books&ie=UTF8&qid=1540506405&sr=1-1142&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Booth and Schwarz: Residence, Domicile and UK Taxation","646,649",153.60,Jonathan Schwarz,Paperback,1526506165, 1526506165, 978-1526506160,https://www.amazon.co.uk/Booth-Schwarz-Residence-Domicile-Taxation/dp/1526506165/ref=sr_1_1140?s=books&ie=UTF8&qid=1540506405&sr=1-1140&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Pianos Inside Out: A Comprehensive Guide to Piano Tuning, Repairing, and Rebuilding","569,941",103.79,Mario Igrec,Paperback,0982756305, 0982756305, 978-0982756300,https://www.amazon.co.uk/Pianos-Inside-Out-Comprehensive-Rebuilding/dp/0982756305/ref=sr_1_1139?s=books&ie=UTF8&qid=1540506405&sr=1-1139&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
The William Blake Tarot: Of the Creative Imagination,"813,853",106.52,Ed Buryn,Paperback,0062513168, 0062513168, 978-0062513168,https://www.amazon.co.uk/William-Blake-Tarot-Creative-Imagination/dp/0062513168/ref=sr_1_1127?s=books&ie=UTF8&qid=1540506391&sr=1-1127&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Türk Musikisi Nazariyati ve Usulleri Kudüm Velveleri,"743,449",180.10,Ismail Hakki Özkan,Paperback,9754370176, 9754370176, 978-9754370171,https://www.amazon.co.uk/Musikisi-Nazariyati-Usulleri-Kud%C3%BCm-Velveleri/dp/9754370176/ref=sr_1_1124?s=books&ie=UTF8&qid=1540506391&sr=1-1124&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Kuwait's Foreign Policy: City-state In World Politics: City States in World Politics (Westview Special Studies on the Middle East),"713,136",119.95,Abdul-reda Assiri,Paperback,081337636X, 081337636X, 978-0813376363,https://www.amazon.co.uk/Kuwaits-Foreign-Policy-City-state-Politics/dp/081337636X/ref=sr_1_1123?s=books&ie=UTF8&qid=1540506391&sr=1-1123&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Handbuch der Patentverletzung,"984,798",179.63,Thomas Kühnen,Paperback,3452289001, 3452289001, 978-3452289001,https://www.amazon.co.uk/Handbuch-Patentverletzung-Thomas-K%C3%BChnen/dp/3452289001/ref=sr_1_1122?s=books&ie=UTF8&qid=1540506391&sr=1-1122&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Up by Roots : Healthy Soils and Trees in the Build Environment,"846,433",206.80,James Urban,Paperback,B001F93W64, 1881956652, 978-1881956655,https://www.amazon.co.uk/Up-Roots-Healthy-Soils-Environment/dp/B001F93W64/ref=sr_1_1118?s=books&ie=UTF8&qid=1540506372&sr=1-1118&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Terrors of the Desert (Monstrous Compendium, Dark Sun Appendix) by Tsr (1992-03-02)","914,461",179.30,Tsr,Paperback,B01K2EFEUY,Not available,Not available,https://www.amazon.co.uk/Terrors-Monstrous-Compendium-Appendix-1992-03-02/dp/B01K2EFEUY/ref=sr_1_1117?s=books&ie=UTF8&qid=1540506372&sr=1-1117&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Synthetic Organic Sonochemistry,"913,462",223.39,Jean-Louis Luche,Paperback,1489919120, 9781489919120, 978-1489919120,https://www.amazon.co.uk/Synthetic-Organic-Sonochemistry-Jean-Louis-Luche/dp/1489919120/ref=sr_1_1114?s=books&ie=UTF8&qid=1540506372&sr=1-1114&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Casualty Care in Mountain Rescue,"712,671",949.99,John Ellerton,Paperback,0950176575, 0950176575, 978-0950176574,https://www.amazon.co.uk/Casualty-Care-Mountain-Rescue-Ellerton/dp/0950176575/ref=sr_1_1111?s=books&ie=UTF8&qid=1540506372&sr=1-1111&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"David Hurn Photographs, 1956-76","754,903",306.91,David Hurn,Paperback,0728702037, 0728702037, 978-0728702035,https://www.amazon.co.uk/David-Hurn-Photographs-1956-76/dp/0728702037/ref=sr_1_1109?s=books&ie=UTF8&qid=1540506372&sr=1-1109&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Synthetic Organic Sonochemistry,"913,462",223.39,Jean-Louis Luche,Paperback,1489919120, 9781489919120, 978-1489919120,https://www.amazon.co.uk/Synthetic-Organic-Sonochemistry-Jean-Louis-Luche/dp/1489919120/ref=sr_1_1103?s=books&ie=UTF8&qid=1540506360&sr=1-1103&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Casualty Care in Mountain Rescue,"712,671",949.99,John Ellerton,Paperback,0950176575, 0950176575, 978-0950176574,https://www.amazon.co.uk/Casualty-Care-Mountain-Rescue-Ellerton/dp/0950176575/ref=sr_1_1101?s=books&ie=UTF8&qid=1540506360&sr=1-1101&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"David Hurn Photographs, 1956-76","754,903",306.91,David Hurn,Paperback,0728702037, 0728702037, 978-0728702035,https://www.amazon.co.uk/David-Hurn-Photographs-1956-76/dp/0728702037/ref=sr_1_1099?s=books&ie=UTF8&qid=1540506360&sr=1-1099&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Marine Biology: Function, Biodiversity, Ecology","622,583",151.41,Professor Jeffrey Levinton,Paperback,0190625279, 0190625279, 978-0190625276,https://www.amazon.co.uk/Marine-Biology-Function-Biodiversity-Ecology/dp/0190625279/ref=sr_1_1093?s=books&ie=UTF8&qid=1540506360&sr=1-1093&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Drafting and Negotiating IT Contracts,"787,001",287.89,Paul Klinger,Paperback,1847667120, 1847667120, 978-1847667120,https://www.amazon.co.uk/Drafting-Negotiating-Contracts-Paul-Klinger/dp/1847667120/ref=sr_1_1092?s=books&ie=UTF8&qid=1540506360&sr=1-1092&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Nations of the World, 2018","860,270",226.28,Grey House Publishing,Paperback,1682173879, 1682173879, 978-1682173879,https://www.amazon.co.uk/Nations-World-2018-House-Publishing/dp/1682173879/ref=sr_1_1087?s=books&ie=UTF8&qid=1540506342&sr=1-1087&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Forrard: The Story of the East Riding Yeomanry,"561,726",942.99,Paul Mace,Paperback,0850528003, 0850528003, 978-0850528008,https://www.amazon.co.uk/Forrard-Story-East-Riding-Yeomanry/dp/0850528003/ref=sr_1_1082?s=books&ie=UTF8&qid=1540506342&sr=1-1082&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Medical-Surgical Nursing - 2-Volume Set: Assessment and Management of Clinical Problems, 10e","452,754",101.93,Sharon L. Lewis RN  PhD  FAAN,Paperback,0323355935, 0323355935, 978-0323355933,https://www.amazon.co.uk/Medical-Surgical-Nursing-2-Assessment-Management/dp/0323355935/ref=sr_1_1076?s=books&ie=UTF8&qid=1540506342&sr=1-1076&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Medical-Surgical Nursing - 2-Volume Set: Assessment and Management of Clinical Problems, 10e","452,754",101.93,Sharon L. Lewis RN  PhD  FAAN,Paperback,0323355935, 0323355935, 978-0323355933,https://www.amazon.co.uk/Medical-Surgical-Nursing-2-Assessment-Management/dp/0323355935/ref=sr_1_1071?s=books&ie=UTF8&qid=1540506326&sr=1-1071&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Child Development: Principles and Perspectives: International Edition,"498,849",142.85,Joan Littlefield Cook,Paperback,0205754112, 0205754112, 978-0205754113,https://www.amazon.co.uk/Child-Development-Principles-Perspectives-International/dp/0205754112/ref=sr_1_1063?s=books&ie=UTF8&qid=1540506326&sr=1-1063&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Reactive Modifiers for Polymers,"928,752",223.18,S. Al- Malaika,Paperback,9401071489, 9401071489, 978-9401071482,https://www.amazon.co.uk/Reactive-Modifiers-Polymers-Al-Malaika/dp/9401071489/ref=sr_1_1062?s=books&ie=UTF8&qid=1540506326&sr=1-1062&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Rising Stars Mathematics Year 2 Teacher's Guide (Rising Stars Primary Mathemati),"488,609",317.37,Rising Stars,Paperback,178339529X, 178339529X, 978-1783395293,https://www.amazon.co.uk/Rising-Mathematics-Teachers-Primary-Mathemati/dp/178339529X/ref=sr_1_1059?s=books&ie=UTF8&qid=1540506326&sr=1-1059&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Interpretation, New Testament Series Set (Interpretation: a Bible Commentary for Teaching and Preaching)","843,997",286.51,James Luther Mays,Paperback,0664239218, 0664239218, 978-0664239213,https://www.amazon.co.uk/Interpretation-New-Testament-Set-Commentary/dp/0664239218/ref=sr_1_1055?s=books&ie=UTF8&qid=1540506313&sr=1-1055&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Modeling and Control of Power Electronics Converter System for Power Quality Improvements,"707,392",102.02,Sanjeet Dwivedi,Paperback,0128145684, 0128145684, 978-0128145685,https://www.amazon.co.uk/Modeling-Control-Electronics-Converter-Improvements/dp/0128145684/ref=sr_1_1053?s=books&ie=UTF8&qid=1540506313&sr=1-1053&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Oxford Textbook of Endocrinology and Diabetes,"725,378",179.55,John A.H. Wass,Paperback,0198766491, 0198766491, 978-0198766490,https://www.amazon.co.uk/Oxford-Textbook-Endocrinology-Diabetes-John/dp/0198766491/ref=sr_1_1050?s=books&ie=UTF8&qid=1540506313&sr=1-1050&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Norfolk Churches from the Air,"657,839",561.99,Mike Page,Paperback,1909796093, 1909796093, 978-1909796096,https://www.amazon.co.uk/Norfolk-Churches-Air-Mike-Page/dp/1909796093/ref=sr_1_1047?s=books&ie=UTF8&qid=1540506313&sr=1-1047&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"The Preparation of Thin Sections of Rocks, Minerals and Ceramics (Royal Microscopical Society Microscopy Handbooks)","746,035",104.95,D.W. Humphries,Paperback,0198564317, 0198564317, 978-0198564317,https://www.amazon.co.uk/Preparation-Sections-Microscopical-Microscopy-Handbooks/dp/0198564317/ref=sr_1_1046?s=books&ie=UTF8&qid=1540506313&sr=1-1046&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
History of Sunbury on Thames,"634,445",109.95,George Freeman,Paperback,0905178076, 0905178076, 978-0905178073,https://www.amazon.co.uk/History-Sunbury-Thames-George-Freeman/dp/0905178076/ref=sr_1_1039?s=books&ie=UTF8&qid=1540506295&sr=1-1039&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
The APhA Complete Review for the FPGEE,"612,182",338.00,Dick R. Gourley,Paperback,1582121435, 1582121435, 978-1582121437,https://www.amazon.co.uk/APhA-Complete-Review-FPGEE/dp/1582121435/ref=sr_1_1038?s=books&ie=UTF8&qid=1540506295&sr=1-1038&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Managing Uncertainty: Competition and Strategy in Emerging Economies (Lbs Management Series),"568,114",304.19,Patrick O. Utomi,Paperback,9780290028, 9780290028, 978-9780290023,https://www.amazon.co.uk/Managing-Uncertainty-Competition-Economies-Management/dp/9780290028/ref=sr_1_1036?s=books&ie=UTF8&qid=1540506295&sr=1-1036&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Conviction: Violence, Culture and a Shared Public Service Agenda (Postcards from Scotland)","409,330",149.95,John Carnochan,Paperback,1908931639, 1908931639, 978-1908931634,https://www.amazon.co.uk/Conviction-Violence-Culture-Postcards-Scotland/dp/1908931639/ref=sr_1_1035?s=books&ie=UTF8&qid=1540506295&sr=1-1035&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
British Steam Locomotive Builders: Supplement: Suppt,"362,033",154.95,James W. Lowe,Paperback,0905100573, 0905100573, 978-0905100579,https://www.amazon.co.uk/British-Steam-Locomotive-Builders-Supplement/dp/0905100573/ref=sr_1_1031?s=books&ie=UTF8&qid=1540506295&sr=1-1031&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"The Great Barrier Reef: Biology, Environment and Management (Coral Reefs of the World)","987,406",193.91,P. Hutchings,Paperback,9048180341, 9048180341, 978-9048180349,https://www.amazon.co.uk/Great-Barrier-Reef-Environment-Management/dp/9048180341/ref=sr_1_1028?s=books&ie=UTF8&qid=1540506295&sr=1-1028&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Rebel Visions: The Underground Comix Revolution: The Underground Comix Revolution 1963-1975,"701,882",104.95,Patrick Rosenkranz,Paperback,156097706X, 156097706X, 978-1560977063,https://www.amazon.co.uk/Rebel-Visions-Underground-Revolution-1963-1975/dp/156097706X/ref=sr_1_1022?s=books&ie=UTF8&qid=1540506280&sr=1-1022&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
High-End Valve Amplifiers: 2: New Models & Applications,"676,848",211.00,Menno van der Veen,Paperback,0905705904, 0905705904, 978-0905705903,https://www.amazon.co.uk/High-End-Valve-Amplifiers-Models-Applications/dp/0905705904/ref=sr_1_1021?s=books&ie=UTF8&qid=1540506280&sr=1-1021&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Maurice Martenot: Methode de l'Enseignement des Ondes Martenot (Ondes Martenot Solo),"758,414",982.79,Maurice (C Martenot,Paperback,B000ZG6WQ0,Not available, 979-0046178283,https://www.amazon.co.uk/Maurice-Martenot-Methode-lEnseignement-Ondes/dp/B000ZG6WQ0/ref=sr_1_995?s=books&ie=UTF8&qid=1540506260&sr=1-995&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
2018 Stamps of the World (6 Volume Set) (World 6 Vol Set),"625,172",314.08,Hugh Jefferies,Paperback,1911304038, 1911304038, 978-1911304036,https://www.amazon.co.uk/2018-Stamps-World-Set-Vol/dp/1911304038/ref=sr_1_983?s=books&ie=UTF8&qid=1540506241&sr=1-983&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"In the Footsteps of Giants: Sea Odyssey - Giant Spectacular by Liverpool City Council, Royal de Luxe (2012) Paperback","595,495",235.16,No Author Specified!!,Paperback,B00NPNPJKK,Not available,Not available,https://www.amazon.co.uk/Footsteps-Giants-Spectacular-Liverpool-Paperback/dp/B00NPNPJKK/ref=sr_1_980?s=books&ie=UTF8&qid=1540506241&sr=1-980&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Tolley's Orange Tax Handbook 2018-19,"635,180",179.67,Roderick Cordara QC,Paperback,1474307728, 1474307728, 978-1474307727,https://www.amazon.co.uk/Tolleys-Orange-Tax-Handbook-2018-19/dp/1474307728/ref=sr_1_978?s=books&ie=UTF8&qid=1540506241&sr=1-978&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Handbook of Tropical and Subtropical Horticulture by Ernest Mortensen (2005-02-11),"566,211",100.36,No Author Specified!!,Paperback,B01K95N2BE,Not available,Not available,https://www.amazon.co.uk/Handbook-Subtropical-Horticulture-Mortensen-2005-02-11/dp/B01K95N2BE/ref=sr_1_968?s=books&ie=UTF8&qid=1540506223&sr=1-968&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
OCR GCSE English Language: Teacher Companion,"524,705",122.11,Jill Carter,Paperback,0198332807, 0198332807, 978-0198332800,https://www.amazon.co.uk/OCR-GCSE-English-Language-Companion/dp/0198332807/ref=sr_1_967?s=books&ie=UTF8&qid=1540506223&sr=1-967&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Starting Out with Java: From Control Structures through Objects (What's New in Computer Science),"904,000",832.01,Tony Gaddis,Paperback,0134802217, 0134802217, 978-0134802213,https://www.amazon.co.uk/Starting-Out-Java-Structures-Computer/dp/0134802217/ref=sr_1_962?s=books&ie=UTF8&qid=1540506223&sr=1-962&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Approved Documents Reference Set,"690,951",176.06,dclg,Paperback,1859462162, 1859462162, 978-1859462164,https://www.amazon.co.uk/Approved-Documents-Reference-Set-dclg/dp/1859462162/ref=sr_1_961?s=books&ie=UTF8&qid=1540506223&sr=1-961&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Starting Out with Java: From Control Structures through Objects (What's New in Computer Science),"904,000",832.01,Tony Gaddis,Paperback,0134802217, 0134802217, 978-0134802213,https://www.amazon.co.uk/Starting-Out-Java-Structures-Computer/dp/0134802217/ref=sr_1_959?s=books&ie=UTF8&qid=1540506209&sr=1-959&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
