Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL
Small Satellites for Earth Observation: Selected Contributions,"321,088",179.54,Rainer Sandau,Paperback,9048177723, 9048177723, 978-9048177721,https://www.amazon.co.uk/Small-Satellites-Earth-Observation-Contributions/dp/9048177723/ref=sr_1_1/260-1751119-8188766?s=books&ie=UTF8&qid=1540505221&sr=1-1&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"The Healthcare Executive's Simple Guide to Fmv for Attorneys, C-Suite, Compliance, and Physicians","250,361",108.01,Jen Johnson,Paperback,1634256964, 1634256964, 978-1634256964,https://www.amazon.co.uk/Healthcare-Executives-Attorneys-Compliance-Physicians/dp/1634256964/ref=sr_1_16/260-1751119-8188766?s=books&ie=UTF8&qid=1540505221&sr=1-16&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Tolley's Employment Handbook,"189,189",137.18,Justice Slade,Paperback,0754554821, 9780754554820, 978-0754554820,https://www.amazon.co.uk/Tolleys-Employment-Handbook-Justice-Slade/dp/0754554821/ref=sr_1_80?s=books&ie=UTF8&qid=1540505282&sr=1-80&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Tolley's Yellow Tax Handbook 2017-18 (6 Vol Set),"249,503",114.80,Anne Redston,Paperback,1474304095, 1474304095, 978-1474304092,https://www.amazon.co.uk/Tolleys-Yellow-Tax-Handbook-2017-18/dp/1474304095/ref=sr_1_96?s=books&ie=UTF8&qid=1540505300&sr=1-96&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Human Physiology: Expression of Veda and the Vedic Literature,"539,766",251.92,Tony Nader,Paperback,8175230177, 8175230177, 978-8175230170,https://www.amazon.co.uk/Human-Physiology-Expression-Vedic-Literature/dp/8175230177/ref=sr_1_112?s=books&ie=UTF8&qid=1540505318&sr=1-112&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Ezard: Contemporary Australian Food,"505,319",127.57,Teage Ezard,Paperback,1740661850, 1740661850, 978-1740661850,https://www.amazon.co.uk/Ezard-Contemporary-Australian-Food-Teage/dp/1740661850/ref=sr_1_160?s=books&ie=UTF8&qid=1540505372&sr=1-160&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Essentials of Anatomy and Physiology,"370,522",104.94,Gerard J. Tortora,Paperback,1118092465, 1118092465, 978-1118092460,https://www.amazon.co.uk/Essentials-Anatomy-Physiology-Gerard-Tortora/dp/1118092465/ref=sr_1_208?s=books&ie=UTF8&qid=1540505418&sr=1-208&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Cell-to-Cell Mapping: A Method of Global Analysis for Nonlinear Systems (Applied Mathematical Sciences),"662,963",144.24,C. S. Hsu,Paperback,1441930833, 1441930833, 978-1441930835,https://www.amazon.co.uk/Cell-Cell-Mapping-Nonlinear-Mathematical/dp/1441930833/ref=sr_1_256?s=books&ie=UTF8&qid=1540505471&sr=1-256&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Plunkett's Food Industry Almanac 2018: Food & Beverages Industry Market Research, Statistics, Trends & Leading Companies (Plunkett's Industry Almanacs)","409,654",290.32,Jack W. Plunkett,Paperback,1628314702, 9781628314700, 978-1628314700,https://www.amazon.co.uk/Plunketts-Food-Industry-Almanac-2018/dp/1628314702/ref=sr_1_416?s=books&ie=UTF8&qid=1540505645&sr=1-416&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
The Venice Lido (Blue Guide Travel Monograph) by Robin Saikia (2010) Paperback,"245,006",124.86,No Author Specified!!,Paperback,B00OX8FPTQ,Not available,Not available,https://www.amazon.co.uk/Venice-Travel-Monograph-Saikia-Paperback/dp/B00OX8FPTQ/ref=sr_1_432?s=books&ie=UTF8&qid=1540505659&sr=1-432&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Sports in Society: Issues and Controversies,"593,425",114.19,Jay Coakley,Paperback,0073523542, 0073523542, 978-0073523545,https://www.amazon.co.uk/Sports-Society-Controversies-Jay-Coakley/dp/0073523542/ref=sr_1_592?s=books&ie=UTF8&qid=1540505826&sr=1-592&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Understanding Kidney Diseases,"601,289",270.19,Hugh Rayner,Paperback,3319234579, 3319234579, 978-3319234571,https://www.amazon.co.uk/Understanding-Kidney-Diseases-Hugh-Rayner/dp/3319234579/ref=sr_1_752?s=books&ie=UTF8&qid=1540505993&sr=1-752&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Lectures on Tungs Acupuncture: Points Study,"626,753",110.92,Wei Chieh Young,Paperback,0977902641, 0977902641, 978-0977902644,https://www.amazon.co.uk/Lectures-Tungs-Acupuncture-Points-Study/dp/0977902641/ref=sr_1_816?s=books&ie=UTF8&qid=1540506059&sr=1-816&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Computer Science: An Overview (What's New in Computer Science),"648,762",142.62,Glenn Brookshear,Paperback,013487546X, 013487546X, 978-0134875460,https://www.amazon.co.uk/Computer-Science-Overview-Whats-New/dp/013487546X/ref=sr_1_1024?s=books&ie=UTF8&qid=1540506280&sr=1-1024&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Das Partherreich Und Seine Zeugnisse: The Arsacid Empire: Sources And Documentation (Historia Einzel-Schriften),"313,999",144.00,Josef Wiesehofer,Paperback,3515073310, 9783515073318, 978-3515073318,https://www.amazon.co.uk/Partherreich-Seine-Zeugnisse-Documentation-Einzel-Schriften/dp/3515073310/ref=sr_1_1056?s=books&ie=UTF8&qid=1540506313&sr=1-1056&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Elizabethan Taste,"590,177",235.56,J Buxton,Paperback,B0034J7L6A,Not available,Not available,https://www.amazon.co.uk/Elizabethan-Taste-J-Buxton/dp/B0034J7L6A/ref=sr_1_1152?s=books&ie=UTF8&qid=1540506405&sr=1-1152&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
NEC3 Complete Suite of 39 documents (2 Volume Set),"718,168",981.96,NEC,Paperback,0727758675, 0727758675, 978-0727758675,https://www.amazon.co.uk/NEC3-Complete-Suite-documents-Set/dp/0727758675/ref=sr_1_1200?s=books&ie=UTF8&qid=1540506463&sr=1-1200&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
"Basic to Advanced Computer Aided Design Using NX12: Modeling, Drafting, Assemblies & Sheetmetal","902,681",111.91,Stephen M Samuel P.E.,Paperback,1935951122, 9781935951124, 978-1935951124,https://www.amazon.co.uk/Basic-Advanced-Computer-Aided-Design/dp/1935951122/ref=sr_1_1195?s=books&ie=UTF8&qid=1540506463&sr=1-1195&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Campbell Biology (10th Edition) - Softcover by Jane B. Reece (2013-11-10),"363,679",109.95,No Author Specified!!,Paperback,1269566059, 0321775651, 978-1269561952,https://www.amazon.co.uk/Campbell-Biology-10th-Softcover-2013-11-10/dp/1269566059/ref=sr_1_1190?s=books&ie=UTF8&qid=1540506463&sr=1-1190&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Fairgrounds and amusement parks: guidance on safe practice (Health and safety guidance),"551,121",990.00,Great Britain: Health and Safety Executive,Paperback,0717662497, 0717662497, 978-0717662494,https://www.amazon.co.uk/Fairgrounds-amusement-parks-guidance-practice/dp/0717662497/ref=sr_1_1187?s=books&ie=UTF8&qid=1540506463&sr=1-1187&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Mrs Pig's Bulk Buy (Picturemacs S.),"381,822",104.94,Mary Rayner,Paperback,0333510399, 0333510399, 978-0333510391,https://www.amazon.co.uk/Mrs-Pigs-Bulk-Buy-Picturemacs/dp/0333510399/ref=sr_1_1182?s=books&ie=UTF8&qid=1540506443&sr=1-1182&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Story of Charlotte Mason,"960,996",380.38,Essex Cholmondeley,Paperback,0953807207, 0953807207, 978-0953807208,https://www.amazon.co.uk/Story-Charlotte-Mason-Essex-Cholmondeley/dp/0953807207/ref=sr_1_1172?s=books&ie=UTF8&qid=1540506443&sr=1-1172&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
Story of Charlotte Mason,"960,996",380.38,Essex Cholmondeley,Paperback,0953807207, 0953807207, 978-0953807208,https://www.amazon.co.uk/Story-Charlotte-Mason-Essex-Cholmondeley/dp/0953807207/ref=sr_1_1162?s=books&ie=UTF8&qid=1540506425&sr=1-1162&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A10000-100000
