Title,BSR,Price in £ (starting from),Author,Book Type,ASIN,ISBN-10,ISBN-13,URL
Underground,"526,474",500.00,Bob Mazzer,Hardcover,0957656939, 0957656939, 978-0957656932,https://www.amazon.co.uk/Underground-Bob-Mazzer/dp/0957656939/ref=sr_1_28?s=books&ie=UTF8&qid=1540594842&sr=1-28&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A49900-50000
The Complete Paddington Set (12 Volumes),"1,614,991",499.99,Michael Bond,Hardcover,B00B0C5F0W,Not available,Not available,https://www.amazon.co.uk/Complete-Paddington-Set-12-Volumes/dp/B00B0C5F0W/ref=sr_1_18?s=books&ie=UTF8&qid=1540594842&sr=1-18&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A49900-50000
Food Microbiology 2e,"1,890,706",500.00,Thomas J. Montville,Hardcover,1405189134, 1405189134, 978-1405189132,https://www.amazon.co.uk/Food-Microbiology-2e-Thomas-Montville/dp/1405189134/ref=sr_1_15/258-1067968-1785838?s=books&ie=UTF8&qid=1540594830&sr=1-15&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A49900-50000
Marrying Mary (Mills & Boon Largeprint) (Betty Neels Large Print),"767,165",500.00,Betty Neels,Hardcover,0263204545, 0263204545, 978-0263204544,https://www.amazon.co.uk/Marrying-Mills-Largeprint-Betty-Neels/dp/0263204545/ref=sr_1_9/258-1067968-1785838?s=books&ie=UTF8&qid=1540594830&sr=1-9&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A49900-50000
Peter Beard,"1,144,032",499.89,Nejma Beard,Hardcover,383650877X, 383650877X, 978-3836508773,https://www.amazon.co.uk/Peter-Beard-Steven-M-L-Aronson/dp/383650877X/ref=sr_1_7/258-1067968-1785838?s=books&ie=UTF8&qid=1540594830&sr=1-7&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A49900-50000
A Falcon in the Field,"1,417,662",500.00,J.G. Mavrogordato,Hardcover,B001AW3PDQ,Not available,Not available,https://www.amazon.co.uk/Falcon-Field-J-G-Mavrogordato/dp/B001AW3PDQ/ref=sr_1_6/258-1067968-1785838?s=books&ie=UTF8&qid=1540594830&sr=1-6&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A49900-50000
Palmer on Bailment,"1,322,104",500.00,Norman Palmer,Hardcover,1847030688, 1847030688, 978-1847030689,https://www.amazon.co.uk/Palmer-Bailment-Norman/dp/1847030688/ref=sr_1_5/258-1067968-1785838?s=books&ie=UTF8&qid=1540594830&sr=1-5&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A49900-50000
"Australian Art: A History (Miegunyah Volumes. Series 2) (Miegunyah Volumes, 2nd Series)","946,607",499.00,Sasha Grishin,Hardcover,0522856527, 0522856527, 978-0522856521,https://www.amazon.co.uk/Australian-Art-History-Miegunyah-Volumes/dp/0522856527/ref=sr_1_3/258-1067968-1785838?s=books&ie=UTF8&qid=1540594830&sr=1-3&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A49900-50000
