Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL
Jogo do Pau: The ancient art & modern science of Portuguese stick fighting,"2,071,178","2,419.99",MSc Luis Preto,Paperback,1480228141, 1480228141, 978-1480228146,https://www.amazon.co.uk/Jogo-Pau-ancient-Portuguese-fighting/dp/1480228141/ref=sr_1_703?s=books&ie=UTF8&qid=1540558354&sr=1-703&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Forced Submission,"1,793,290","2,000.00",Claire Thompson,Paperback,1490936556, 1490936556, 978-1490936550,https://www.amazon.co.uk/Forced-Submission-Claire-Thompson/dp/1490936556/ref=sr_1_696?s=books&ie=UTF8&qid=1540558354&sr=1-696&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Shadow War: The CIA's Secret War In Laos,"1,600,071","2,013.99",Kenneth Conboy,Paperback,1581605358, 1581605358, 978-1581605358,https://www.amazon.co.uk/Shadow-War-CIAs-Secret-Laos/dp/1581605358/ref=sr_1_690?s=books&ie=UTF8&qid=1540558354&sr=1-690&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
The Ultimate Guide to iTunes & Icloud,"1,446,996","2,245.69",Christian Hall,Paperback,1783890975, 1783890975, 978-1783890972,https://www.amazon.co.uk/Ultimate-Guide-iTunes-Icloud/dp/1783890975/ref=sr_1_689?s=books&ie=UTF8&qid=1540558354&sr=1-689&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Iraqi Heat: Sas Operations Against Isis in Iraq,"1,380,738","2,392.99",Steve Stone,Paperback,1326110942, 1326110942, 978-1326110949,https://www.amazon.co.uk/Iraqi-Heat-Operations-Against-Isis/dp/1326110942/ref=sr_1_686?s=books&ie=UTF8&qid=1540558334&sr=1-686&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
"Ketogenic Diet: The Ultimate Guarantee Rapid Weight Loss Recipes For Beginners(Ketogenic Weight Loss, Ketogenic Cookbook Recipes, Clean Eating. Pot cookbook Recipes, Healthy Living)","1,167,217","2,475.99",Alicia Walters Stewart,Paperback,1544999410, 1544999410, 978-1544999418,https://www.amazon.co.uk/Ketogenic-Diet-Ultimate-Guarantee-Beginners/dp/1544999410/ref=sr_1_681?s=books&ie=UTF8&qid=1540558334&sr=1-681&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
An introduction to HF Software Defined Radio: SDR for Amateur Radio Operators,"1,038,856","2,839.99",Andrew Barron ZL3DW,Paperback,1500119938, 1500119938, 978-1500119935,https://www.amazon.co.uk/introduction-Software-Defined-Radio-Operators/dp/1500119938/ref=sr_1_679?s=books&ie=UTF8&qid=1540558334&sr=1-679&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Guide to the Dragons Volume 3 (How to Train Your Dragon TV),"912,768","2,448.99",Cordelia Evans,Paperback,1481425684, 1481425684, 978-1481425681,https://www.amazon.co.uk/Guide-Dragons-Train-Your-Dragon/dp/1481425684/ref=sr_1_678?s=books&ie=UTF8&qid=1540558334&sr=1-678&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
The Spiritual Life and Prayer: According to Scripture and Monastic Tradition,"2,428,589","2,959.99",Cécile Bruyerè OSB,Paperback,0692722742, 0692722742, 978-0692722749,https://www.amazon.co.uk/Spiritual-Life-Prayer-According-Scripture/dp/0692722742/ref=sr_1_227?s=books&ie=UTF8&qid=1540557856&sr=1-227&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Willy and the Wobbly House: Storybook (Storybooks for troubled children),"2,867,570","2,164.69",Margot Sunderland,Paperback,0863883001, 0863883001, 978-0863883002,https://www.amazon.co.uk/Willy-Wobbly-House-Storybook-Storybooks/dp/0863883001/ref=sr_1_225?s=books&ie=UTF8&qid=1540557856&sr=1-225&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
