Title,BSR,Price in £ (starting from),Author,Book Type,ASIN,ISBN-10,ISBN-13,URL
As If the Earth Matters: Recommitting to Environmental Education,"9,417,787","2,032.99",Kenny Peavy,Paperback,9749074971,9749074971,978-9749074978,https://www.amazon.co.uk/Earth-Matters-Recommitting-Environmental-Education/dp/9749074971/ref=sr_1_930?s=books&ie=UTF8&qid=1540748749&sr=1-930&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Treasures of Egyptian Art: From the Cairo Museum a Portfolio of 10 Masterpieces,"4,476,480","2,311.99",American University in Cario Press,Paperback,9774160851,9774160851,978-9774160851,https://www.amazon.co.uk/Treasures-Egyptian-Art-Portfolio-Masterpieces/dp/9774160851/ref=sr_1_929?s=books&ie=UTF8&qid=1540748749&sr=1-929&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Stories from Abakwa,"7,516,738","2,000.00",Francis B. Nyamnjoh,Paperback,9956558001,9956558001,978-9956558001,https://www.amazon.co.uk/Stories-Abakwa-Francis-B-Nyamnjoh/dp/9956558001/ref=sr_1_892?s=books&ie=UTF8&qid=1540748695&sr=1-892&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
She Went in Haste to the Mountain | Book One,"5,892,246","2,500.00",Eusebio Garcia de Pesquera,Paperback,B002U4M2L4,Not available,Not available,https://www.amazon.co.uk/She-Went-Haste-Mountain-Book/dp/B002U4M2L4/ref=sr_1_860?s=books&ie=UTF8&qid=1540748665&sr=1-860&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"a late iron age settlement and a romano-british villa at holcombe, near uplyme, devon","7,035,743","2,220.00",Sheila Pollard,Paperback,B003UHA280,Not available,Not available,https://www.amazon.co.uk/settlement-romano-british-villa-holcombe-uplyme/dp/B003UHA280/ref=sr_1_851?s=books&ie=UTF8&qid=1540748665&sr=1-851&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"(HOW CHILDREN LEARN (REV)) BY Paperback (Author) Paperback Published on (09 , 1995)","8,122,815","2,000.00",No Author Specified!!,Paperback,B0068HVOYA,Not available,Not available,https://www.amazon.co.uk/CHILDREN-LEARN-Paperback-Author-Published/dp/B0068HVOYA/ref=sr_1_837?s=books&ie=UTF8&qid=1540748648&sr=1-837&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"(Articles on SPIDERS OF SOUTH AMERICA, INCLUDING: CHILEAN ROSE TARANTULA, MISSULENA, CHILEAN RECLUSE, BRAZILIAN WANDERING SPIDER, CHEIRACANTHIUM INCLUSUM, GOLIATH) BY Hephaestus Books(Author)Paperback Sep-2011","8,607,910","2,000.00",No Author Specified!!,Paperback,B007S79R02,Not available,Not available,https://www.amazon.co.uk/Articles-SPIDERS-SOUTH-AMERICA-INCLUDING/dp/B007S79R02/ref=sr_1_827?s=books&ie=UTF8&qid=1540748630&sr=1-827&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
[( Almshouses )] [by: Anna Hallett] [Mar-2008],"7,689,720","2,000.00",Anna Hallett,Paperback,B00FBHYGXO,Not available,Not available,https://www.amazon.co.uk/Almshouses-Anna-Hallett-Mar-2008/dp/B00FBHYGXO/ref=sr_1_780?s=books&ie=UTF8&qid=1540748582&sr=1-780&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"Speak Swahili, Dammit!","7,826,722","2,000.00",JamesPenhaligon,Paperback,B00GPKYPA0,Not available,Not available,https://www.amazon.co.uk/Speak-Swahili-Dammit-JamesPenhaligon/dp/B00GPKYPA0/ref=sr_1_771?s=books&ie=UTF8&qid=1540748582&sr=1-771&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Making Fantasy Cloth Dolls,"6,719,268","2,000.00",JanHorrox,Paperback,B00GQ3GWGG,Not available,Not available,https://www.amazon.co.uk/Making-Fantasy-Cloth-Dolls-JanHorrox/dp/B00GQ3GWGG/ref=sr_1_765?s=books&ie=UTF8&qid=1540748562&sr=1-765&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"{{UKRAINIAN POETS, INCLUDING: ANNA AKHMATOVA, TARAS SHEVCHENKO, IVAN FRANKO, LESYA UKRAINKA, OLENA TELIHA, PAVLO TYCHYNA, MYKOLA BAZHAN, SASHA CHORN BY HEPHAESTUS BOOKS} [PAPERBACK]","8,348,894","2,000.00",No Author Specified!!,Paperback,B00HP1IOSW,Not available,Not available,https://www.amazon.co.uk/UKRAINIAN-POETS-INCLUDING-SHEVCHENKO-HEPHAESTUS/dp/B00HP1IOSW/ref=sr_1_762?s=books&ie=UTF8&qid=1540748562&sr=1-762&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"[ [ 16 Manor Way: The Story of Our Fated Adoptions [ 16 MANOR WAY: THE STORY OF OUR FATED ADOPTIONS BY Holbrook, Nicholas ( Author ) Aug-17-2010[ 16 MANOR WAY: THE STORY OF OUR FATED ADOPTIONS [ 16 MANOR WAY: THE STORY OF OUR FATED ADOPTIONS BY HOLBROOK, NICHOLAS ( AUTHOR ) AUG-17-2010 ] By Holbrook, Nicholas ( Author )Aug-17-2010 Paperback ] ] By Holbrook, Nicholas ( Author ) Aug - 2010 [ Paperback ]","5,066,782","2,000.00",Nicholas Holbrook,Paperback,B00JHSA13M,Not available,Not available,https://www.amazon.co.uk/Manor-Way-Adoptions-Aug-17-2010-AUG-17-2010/dp/B00JHSA13M/ref=sr_1_744?s=books&ie=UTF8&qid=1540748542&sr=1-744&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"[ SATURN APARTMENTS, VOLUME 4 (SATURN APARTMENTS #04) ] By Iwaoka, Hisae ( Author ) Nov- 2011 [ Paperback ]","5,979,531","2,000.00",Hisae Iwaoka,Paperback,B00JIC2O00,Not available,Not available,https://www.amazon.co.uk/SATURN-APARTMENTS-Iwaoka-Author-Paperback/dp/B00JIC2O00/ref=sr_1_743?s=books&ie=UTF8&qid=1540748542&sr=1-743&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
[(The Gift of Peace: Personal Reflections by Cardinal Joseph Bernardin )] [Author: Joseph L. Bernardin] [Jan-2003],"7,513,353","2,000.00",No Author Specified!!,Paperback,B00LXKTZ1Q,Not available,Not available,https://www.amazon.co.uk/Gift-Peace-Personal-Reflections-Bernardin/dp/B00LXKTZ1Q/ref=sr_1_734?s=books&ie=UTF8&qid=1540748529&sr=1-734&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
