Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL
The Glory of Cong,"4,978,007","1,000.00",J. A. Fahy,Paperback,B00C7803PA,Not available,Not available,https://www.amazon.co.uk/Glory-Cong-J-Fahy/dp/B00C7803PA/ref=sr_1_966?s=books&ie=UTF8&qid=1540597049&sr=1-966&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
The Grave (1743),"4,704,982","1,000.00",Blair R,Paperback,B00IPN8MY0,Not available,Not available,https://www.amazon.co.uk/Grave-Blair-R/dp/B00IPN8MY0/ref=sr_1_824?s=books&ie=UTF8&qid=1540596879&sr=1-824&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
A Pub Walk with a Difference in 1883,"4,245,453","1,000.00",McDonald D,Paperback,B00J5PQREY,Not available,Not available,https://www.amazon.co.uk/Pub-Walk-Difference-1883/dp/B00J5PQREY/ref=sr_1_820?s=books&ie=UTF8&qid=1540596879&sr=1-820&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Six One-Act Comedies for Women,"4,509,069","1,000.00",D et al Campton,Paperback,B019QJ89TY,Not available,Not available,https://www.amazon.co.uk/Six-One-Act-Comedies-Women-Campton/dp/B019QJ89TY/ref=sr_1_666?s=books&ie=UTF8&qid=1540596717&sr=1-666&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Soutine: Edinburgh International Festival 1963,"4,419,424",999.97,Anon,Paperback,B01BLIMKCU,Not available,Not available,https://www.amazon.co.uk/Soutine-Edinburgh-International-Festival-1963/dp/B01BLIMKCU/ref=sr_1_657?s=books&ie=UTF8&qid=1540596717&sr=1-657&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Geology of the Country Around Warwick (Geological Memoirs & Sheet Explanations (England & Wales)),"2,776,242","1,000.00",British Geological Survey,Paperback,0118844016, 0118844016, 978-0118844017,https://www.amazon.co.uk/Geology-Country-Warwick-Geological-Explanations/dp/0118844016/ref=sr_1_498?s=books&ie=UTF8&qid=1540596550&sr=1-498&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Portugal: The Revolution in the Labyrinth,"2,530,120","1,000.00",Jean Pierre Faye,Paperback,0851241662, 0851241662, 978-0851241661,https://www.amazon.co.uk/Portugal-Revolution-Jean-Pierre-Faye/dp/0851241662/ref=sr_1_497?s=books&ie=UTF8&qid=1540596550&sr=1-497&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Advocacy in Social Work (Theories in social work series),"2,673,050","1,000.00",David Brandon,Paperback,1861780516, 1861780516, 978-1861780515,https://www.amazon.co.uk/Advocacy-Social-Work-Theories-social/dp/1861780516/ref=sr_1_492?s=books&ie=UTF8&qid=1540596535&sr=1-492&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Making Community Mental Health Teams Work: CMHTs and the People Who Work in Them,"3,029,202","1,000.00",Steve Onyett,Paperback,1870480171, 1870480171, 978-1870480178,https://www.amazon.co.uk/Making-Community-Mental-Health-Teams/dp/1870480171/ref=sr_1_491?s=books&ie=UTF8&qid=1540596535&sr=1-491&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
13 Moons: A Journal of a Natural Witch,"2,475,625","1,000.00",Fiona Walker-Craven,Paperback,1903768020, 1903768020, 978-1903768020,https://www.amazon.co.uk/13-Moons-Journal-Natural-Witch/dp/1903768020/ref=sr_1_490?s=books&ie=UTF8&qid=1540596535&sr=1-490&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
English Holy Wells: v. 1: A Sourcebook,"2,651,081","1,000.00",Jeremy Harte,Paperback,1905646100, 1905646100, 978-1905646104,https://www.amazon.co.uk/English-Holy-Wells-v-Sourcebook/dp/1905646100/ref=sr_1_489?s=books&ie=UTF8&qid=1540596535&sr=1-489&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
The Sacraments and the Church,"2,852,341","1,000.00",Henry de Candole,Paperback,B0032OKUFG,Not available,Not available,https://www.amazon.co.uk/Sacraments-Church-Henry-Candole/dp/B0032OKUFG/ref=sr_1_486?s=books&ie=UTF8&qid=1540596535&sr=1-486&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
"To Urania: Selected Poems 1965-1985: Selected Poems, 1965-85 (Penguin Twentieth Century Classics)","2,247,431","1,000.00",Joseph Brodsky,Paperback,0141180129, 0141180129, 978-0141180120,https://www.amazon.co.uk/Urania-Selected-1965-1985-Twentieth-Classics/dp/0141180129/ref=sr_1_485?s=books&ie=UTF8&qid=1540596535&sr=1-485&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Easy Portuguese CD Pack: A Photo Phrase Book (Photo Phrase Book & Audio CD),"1,971,714","1,000.00",-,Paperback,0007208340, 0007208340, 978-0007208340,https://www.amazon.co.uk/Easy-Portuguese-CD-Pack-Phrase/dp/0007208340/ref=sr_1_482?s=books&ie=UTF8&qid=1540596535&sr=1-482&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
HMRC Investigations Handbook 2014/15,"1,872,397","1,000.00",Mark McLaughlin,Paperback,1847669891, 1847669891, 978-1847669896,https://www.amazon.co.uk/HMRC-Investigations-Handbook-2014-15/dp/1847669891/ref=sr_1_481?s=books&ie=UTF8&qid=1540596535&sr=1-481&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Marvel Masterworks: X-men 1975-76: Giant Size X-Men #1 & X-Men #94-102: Giant Size X-men No. 1,"1,429,233","1,000.00",Chris Claremont,Paperback,1905239289, 1905239289, 978-1905239283,https://www.amazon.co.uk/Marvel-Masterworks-X-men-1975-76-94-102/dp/1905239289/ref=sr_1_479?s=books&ie=UTF8&qid=1540596521&sr=1-479&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Control of Resources,"2,067,374","1,000.00",DASGUPTA,Paperback,0631130861, 0631130861, 978-0631130864,https://www.amazon.co.uk/Control-Resources-DASGUPTA/dp/0631130861/ref=sr_1_478?s=books&ie=UTF8&qid=1540596521&sr=1-478&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Evil and the God of Love,"4,605,612","1,000.00",John Harwood Hick,Paperback,0006418333, 0006418333, 978-0006418337,https://www.amazon.co.uk/Evil-Love-John-Harwood-Hick/dp/0006418333/ref=sr_1_475?s=books&ie=UTF8&qid=1540596521&sr=1-475&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Reasoning Architect: Mathematics and Science in Design,"4,723,999","1,000.00",Garry Stevens,Paperback,007100923X, 007100923X, 978-0071009232,https://www.amazon.co.uk/Reasoning-Architect-Mathematics-Science-Design/dp/007100923X/ref=sr_1_466?s=books&ie=UTF8&qid=1540596521&sr=1-466&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Leading Issues in Economic Development 8th Edn.,"4,274,903","1,000.00",No Author Specified!!,Paperback,0195680812, 0195680812, 978-0195680812,https://www.amazon.co.uk/Leading-Issues-Economic-Development-Edn/dp/0195680812/ref=sr_1_446?s=books&ie=UTF8&qid=1540596487&sr=1-446&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Christian Universe,"3,406,201","1,000.00",Eric Lionel Mascall,Paperback,0232510024, 0232510024, 978-0232510027,https://www.amazon.co.uk/Christian-Universe-Eric-Lionel-Mascall/dp/0232510024/ref=sr_1_443?s=books&ie=UTF8&qid=1540596487&sr=1-443&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Off the Hook: Play,"4,813,514","1,000.00",Derek Benfield,Paperback,0237749149, 0237749149, 978-0237749149,https://www.amazon.co.uk/Off-Hook-Play-Derek-Benfield/dp/0237749149/ref=sr_1_442?s=books&ie=UTF8&qid=1540596487&sr=1-442&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Introducing a European Legal Order (Hamlyn Lecture Series),"4,627,986","1,000.00",Gordon Slynn,Paperback,0421473002, 0421473002, 978-0421473003,https://www.amazon.co.uk/Introducing-European-Legal-Hamlyn-Lecture/dp/0421473002/ref=sr_1_422?s=books&ie=UTF8&qid=1540596473&sr=1-422&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
No Longer At Ease,"4,977,245","1,000.00",Chinua Achebe Retold by John Milne,Paperback,0435271245, 0435271245, 978-0435271244,https://www.amazon.co.uk/Longer-Chinua-Achebe-Retold-Milne/dp/0435271245/ref=sr_1_420?s=books&ie=UTF8&qid=1540596473&sr=1-420&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Two Weeks with the Queen (Galaxy Children's Large Print),"4,825,503","1,000.00",Morris Gleitzman,Paperback,0754078167, 0754078167, 978-0754078166,https://www.amazon.co.uk/Weeks-Queen-Galaxy-Childrens-Large/dp/0754078167/ref=sr_1_382?s=books&ie=UTF8&qid=1540596422&sr=1-382&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
The Subtle Knife (Galaxy Children's Large Print Books),"4,660,242",999.99,Philip Pullman,Paperback,0754078647, 0754078647, 978-0754078647,https://www.amazon.co.uk/Subtle-Knife-Galaxy-Childrens-Large/dp/0754078647/ref=sr_1_380?s=books&ie=UTF8&qid=1540596422&sr=1-380&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Diplomatic Baggage,"3,394,533","1,000.00",John Roy Chapman,Paperback,0900354089, 0900354089, 978-0900354083,https://www.amazon.co.uk/Diplomatic-Baggage-John-Roy-Chapman/dp/0900354089/ref=sr_1_363?s=books&ie=UTF8&qid=1540596406&sr=1-363&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
"Third Rail, The (Large Print Book)","4,524,252","1,000.00",Michael Harvey,Paperback,1408487616, 1408487616, 978-1408487617,https://www.amazon.co.uk/Third-Rail-Large-Print-Book/dp/1408487616/ref=sr_1_346?s=books&ie=UTF8&qid=1540596391&sr=1-346&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
No Lipstick in Lebanon,"4,404,339",999.99,P J Timblick,Paperback,1494714353, 1494714353, 978-1494714352,https://www.amazon.co.uk/No-Lipstick-Lebanon-P-Timblick/dp/1494714353/ref=sr_1_333?s=books&ie=UTF8&qid=1540596374&sr=1-333&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Christopher Marlowe: The overreacher,"3,524,816","1,000.00",Harry Levin,Paperback,B0000CMFW0, 8190583239, 978-8190583237,https://www.amazon.co.uk/Christopher-Marlowe-overreacher-Harry-Levin/dp/B0000CMFW0/ref=sr_1_303?s=books&ie=UTF8&qid=1540596339&sr=1-303&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Dark Night Of The Soul.,"4,888,032","1,000.00",St. John Of The Cross.,Paperback,B0014I349G, 0860120368, 978-0860120360,https://www.amazon.co.uk/Dark-Night-Soul-John-Cross/dp/B0014I349G/ref=sr_1_257?s=books&ie=UTF8&qid=1540596307&sr=1-257&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
television & radio 1986,"4,296,338","1,000.00",mike melaniphy (ED),Paperback,B003KDRVQU,Not available,Not available,https://www.amazon.co.uk/television-radio-1986-mike-melaniphy/dp/B003KDRVQU/ref=sr_1_217?s=books&ie=UTF8&qid=1540596258&sr=1-217&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Differential Calculus,"4,511,182","1,000.00",W. L. Ferrar,Paperback,B007T3RGYY,Not available,Not available,https://www.amazon.co.uk/Differential-Calculus-W-L-Ferrar/dp/B007T3RGYY/ref=sr_1_186?s=books&ie=UTF8&qid=1540596219&sr=1-186&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
"Goodbye, Columbus","3,407,617","1,000.00",Roth P,Paperback,B009KWVPWQ,Not available,Not available,https://www.amazon.co.uk/Goodbye-Columbus-Roth-P/dp/B009KWVPWQ/ref=sr_1_170?s=books&ie=UTF8&qid=1540596202&sr=1-170&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Oxford Take Off in French,"2,898,144","1,000.00",Press Oxford University,Paperback,B0077A46IS, 0199534330, 978-0199534333,https://www.amazon.co.uk/Oxford-Take-French-Press-University/dp/B0077A46IS/ref=sr_1_115?s=books&ie=UTF8&qid=1540596154&sr=1-115&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
The Secret Casebook of Simon Feximal,"2,322,769",999.83,Kj Charles,Paperback,1619229676, 1619229676, 978-1619229679,https://www.amazon.co.uk/Secret-Casebook-Simon-Feximal/dp/1619229676/ref=sr_1_113?s=books&ie=UTF8&qid=1540596154&sr=1-113&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Error of Judgement: Truth About the Birmingham Bombings,"1,685,236","1,000.00",Chris Mullin,Paperback,1853713651, 1853713651, 978-1853713651,https://www.amazon.co.uk/Error-Judgement-Truth-Birmingham-Bombings/dp/1853713651/ref=sr_1_111?s=books&ie=UTF8&qid=1540596136&sr=1-111&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Paradise Lost And Found: The Story Of Belfast Celtic (Mainstream Sport),"1,420,435","1,000.00",Padraig Coyle,Paperback,1840184515, 1840184515, 978-1840184518,https://www.amazon.co.uk/Paradise-Lost-Found-Belfast-Mainstream/dp/1840184515/ref=sr_1_110?s=books&ie=UTF8&qid=1540596136&sr=1-110&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
The Myth of Sisyphus and Other Essays,"711,232","1,000.00",No Author Specified!!,Paperback,1535208139, 1535208139, 978-1535208130,https://www.amazon.co.uk/Myth-Sisyphus-Other-Essays/dp/1535208139/ref=sr_1_109?s=books&ie=UTF8&qid=1540596136&sr=1-109&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
SEVEN FAMOUS ONE-ACT PLAYS.,"4,369,513","1,000.00",Alfred et al. Sutro,Paperback,B000G9UIJS,Not available,Not available,https://www.amazon.co.uk/SEVEN-FAMOUS-ONE-ACT-PLAYS-Alfred/dp/B000G9UIJS/ref=sr_1_108?s=books&ie=UTF8&qid=1540596136&sr=1-108&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Appleby - in - Westmorland Area ( David & Charles Touring Companion TC91,"4,329,924","1,000.00",Alan ( Editior ) Kind,Paperback,0715396609, 0715396609, 978-0715396605,https://www.amazon.co.uk/Appleby-Westmorland-Charles-Touring-Companion/dp/0715396609/ref=sr_1_106?s=books&ie=UTF8&qid=1540596136&sr=1-106&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Advanced Conversational English (Applied Linguistics and Language Study),"2,774,786",999.99,David Crystal,Paperback,0582550742, 0582550742, 978-0582550742,https://www.amazon.co.uk/Advanced-Conversational-English-Linguistics-Language/dp/0582550742/ref=sr_1_105?s=books&ie=UTF8&qid=1540596136&sr=1-105&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Arabies; Entretiens Avec Mirese Akar,"4,314,235","1,000.00",Berque J,Paperback,B00ENKRNLM,Not available,Not available,https://www.amazon.co.uk/Arabies-Entretiens-Avec-Mirese-Akar/dp/B00ENKRNLM/ref=sr_1_104?s=books&ie=UTF8&qid=1540596136&sr=1-104&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Visiting Time,"4,315,037","1,000.00",Brian J. Burton,Paperback,1852050586, 1852050586, 978-1852050580,https://www.amazon.co.uk/Visiting-Time-Brian-J-Burton/dp/1852050586/ref=sr_1_103?s=books&ie=UTF8&qid=1540596136&sr=1-103&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
"Hospital In-patient Enquiry: In-patient and Day Care Trends, 1979-85: England and Wales (Series MB4)","4,291,740","1,000.00",Great Britain: Office of Population Censuses and Surveys,Paperback,0116912545, 0116912545, 978-0116912541,https://www.amazon.co.uk/Hospital-patient-Enquiry-1979-85-England/dp/0116912545/ref=sr_1_102?s=books&ie=UTF8&qid=1540596136&sr=1-102&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
LESLP major incident procedure manual,"2,996,386","1,000.00",London Emergency Services Liaison Panel,Paperback,011341319X, 011341319X, 978-0113413195,https://www.amazon.co.uk/LESLP-major-incident-procedure-manual/dp/011341319X/ref=sr_1_100?s=books&ie=UTF8&qid=1540596136&sr=1-100&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
THE SECULARISATION OF CHRISTIANITY.,"2,852,660","1,000.00",E L. Mascall,Paperback,B000G9MW3S,Not available,Not available,https://www.amazon.co.uk/SECULARISATION-CHRISTIANITY-L-Mascall/dp/B000G9MW3S/ref=sr_1_98?s=books&ie=UTF8&qid=1540596136&sr=1-98&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Chika Ohgi (Portfolio Collection),"3,777,916","1,000.00",Keiko Kawashima,Paperback,1902015258, 1902015258, 978-1902015255,https://www.amazon.co.uk/Chika-Portfolio-Collection-Keiko-Kawashima/dp/1902015258/ref=sr_1_97?s=books&ie=UTF8&qid=1540596136&sr=1-97&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
On the Very Edge of the Ocean : The Porthmeor Studios and Paintings in St Ives,"3,176,604",999.27,Ben Tufnell,Paperback,B0012QIQKM,Not available,Not available,https://www.amazon.co.uk/Very-Edge-Ocean-Porthmeor-Paintings/dp/B0012QIQKM/ref=sr_1_95?s=books&ie=UTF8&qid=1540596122&sr=1-95&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Het land Achter Godsrug,"4,230,756","1,000.00",A. den Doolaard,Paperback,B00CPRTPT8,Not available,Not available,https://www.amazon.co.uk/Het-land-Achter-Godsrug-Doolaard/dp/B00CPRTPT8/ref=sr_1_94?s=books&ie=UTF8&qid=1540596122&sr=1-94&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Butterworths Rules of Court: Civil Court Practice,"4,259,774","1,000.00",No Author Specified!!,Paperback,0406998914, 0406998914, 978-0406998910,https://www.amazon.co.uk/Butterworths-Rules-Court-Civil-Practice/dp/0406998914/ref=sr_1_93?s=books&ie=UTF8&qid=1540596122&sr=1-93&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Case Studies of Tourism in Peripheral Areas,"4,222,758","1,000.00","F Hall, D Brown",Paperback,8790881249, 8790881249, 978-8790881245,https://www.amazon.co.uk/Case-Studies-Tourism-Peripheral-Areas/dp/8790881249/ref=sr_1_92?s=books&ie=UTF8&qid=1540596122&sr=1-92&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Modern Political Analyses,"4,268,640","1,000.00",R Dahl,Paperback,B00800DOPA,Not available,Not available,https://www.amazon.co.uk/Modern-Political-Analyses-R-Dahl/dp/B00800DOPA/ref=sr_1_91?s=books&ie=UTF8&qid=1540596122&sr=1-91&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Nursing Beds: Evaluation of the Effects of Therapeutic Nursing (Royal College of Nursing Research),"4,153,876","1,000.00",Alan Pearson,Paperback,1871364647, 1871364647, 978-1871364644,https://www.amazon.co.uk/Nursing-Beds-Evaluation-Therapeutic-Research/dp/1871364647/ref=sr_1_90?s=books&ie=UTF8&qid=1540596122&sr=1-90&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Rabi'a The Mystic and her Fellow-Saints in Islam: Being the Life and Teachings of Rabi'a al-Adawiyya Al-Qaysiyya of Basra together with some account of the place of the Women Saints in Islam,"2,548,955",999.87,Margaret Smith,Paperback,0521318637, 0521318637, 978-0521318631,https://www.amazon.co.uk/Rabia-Mystic-her-Fellow-Saints-Islam/dp/0521318637/ref=sr_1_89?s=books&ie=UTF8&qid=1540596122&sr=1-89&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Kernel Two: Transcript,"4,289,488","1,000.00",M. Higgins,Paperback,0582516412, 0582516412, 978-0582516410,https://www.amazon.co.uk/Kernel-Two-Transcript-M-Higgins/dp/0582516412/ref=sr_1_88?s=books&ie=UTF8&qid=1540596122&sr=1-88&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Being Human: Ordinariness in Nursing,"2,425,441","1,000.00",B. J. Taylor,Paperback,0443049521, 0443049521, 978-0443049521,https://www.amazon.co.uk/Being-Human-Ordinariness-B-Taylor/dp/0443049521/ref=sr_1_85?s=books&ie=UTF8&qid=1540596122&sr=1-85&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
British and Irish Silver Assay Office Marks 1544-1972,"4,220,590","1,000.00",F.S.A Frederick Bradbury,Paperback,B0010K81DM,Not available,Not available,https://www.amazon.co.uk/British-Irish-Silver-Office-1544-1972/dp/B0010K81DM/ref=sr_1_83?s=books&ie=UTF8&qid=1540596122&sr=1-83&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Tackling Bullying and Harassment at Work: a Trade Unionist's Guide (LRD booklet),"3,840,824","1,000.00",Labour Research Department,Paperback,1900544970, 1900544970, 978-1900544979,https://www.amazon.co.uk/Tackling-Bullying-Harassment-Work-Unionists/dp/1900544970/ref=sr_1_82?s=books&ie=UTF8&qid=1540596122&sr=1-82&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
French Glossary of Tourism: French-English/English-French (Language - French),"4,147,228","1,000.00",Lexus,Paperback,1874687404, 1874687404, 978-1874687405,https://www.amazon.co.uk/French-Glossary-Tourism-French-English-English-French/dp/1874687404/ref=sr_1_79?s=books&ie=UTF8&qid=1540596104&sr=1-79&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
"Stories and Settings: Scotland, Wales and Ireland: Annotated Booklist","4,189,158","1,000.00",Christine Lassam,Paperback,0853532729, 0853532729, 978-0853532729,https://www.amazon.co.uk/Stories-Settings-Scotland-Annotated-Booklist/dp/0853532729/ref=sr_1_78?s=books&ie=UTF8&qid=1540596104&sr=1-78&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Ronsard in Cambridge: Cambridge Research Colloquium Proceedings,"4,143,477","1,000.00",Philip Ford,Paperback,0951164503, 0951164503, 978-0951164501,https://www.amazon.co.uk/Ronsard-Cambridge-Research-Colloquium-Proceedings/dp/0951164503/ref=sr_1_77?s=books&ie=UTF8&qid=1540596104&sr=1-77&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Oracy and Special Education Needs (Occasional Papers in Oracy),"4,127,167","1,000.00",National Curriculum Council,Paperback,1872676944, 1872676944, 978-1872676944,https://www.amazon.co.uk/Oracy-Special-Education-Occasional-Papers/dp/1872676944/ref=sr_1_75?s=books&ie=UTF8&qid=1540596104&sr=1-75&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
00101-09 Basic Safety TG,"2,825,334",999.43,NCCER,Paperback,0136098754, 0136098754, 978-0136098751,https://www.amazon.co.uk/00101-09-Basic-Safety-TG-NCCER/dp/0136098754/ref=sr_1_73?s=books&ie=UTF8&qid=1540596104&sr=1-73&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
THE RESURRECTION OF CHRIST.,"2,667,342","1,000.00",A. M. (Archbishop of Canterbury). Ramsey,Paperback,B000QDI1ES,Not available,Not available,https://www.amazon.co.uk/RESURRECTION-CHRIST-Archbishop-Canterbury-Ramsey/dp/B000QDI1ES/ref=sr_1_72?s=books&ie=UTF8&qid=1540596104&sr=1-72&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
