Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL
Double Discrimination: Issues and Services for People with Learning Difficulties from Black and Ethnic Minority Communities,"1,111,268","1,000.00",Carol Baxter,Paperback,0903060795, 0903060795, 978-0903060790,https://www.amazon.co.uk/Double-Discrimination-Services-Difficulties-Communities/dp/0903060795/ref=sr_1_16/258-9751147-9731106?s=books&ie=UTF8&qid=1540596041&sr=1-16&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
"[ A COMMENTARY ON OVID'S ""FASTI"" BY ROBINSON, MATTHEW](AUTHOR)HARDBACK","3,100,792",999.27,Matthew Robinson,Paperback,B00BNY70Q4,Not available,Not available,https://www.amazon.co.uk/COMMENTARY-ROBINSON-MATTHEW-AUTHOR-HARDBACK/dp/B00BNY70Q4/ref=sr_1_48?s=books&ie=UTF8&qid=1540596065&sr=1-48&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Estimating and Tendering for Civil Engineering Works,"3,421,446","1,000.00",Ronald McCaffer,Paperback,0246118849, 0246118849, 978-0246118844,https://www.amazon.co.uk/Estimating-Tendering-Civil-Engineering-Works/dp/0246118849/ref=sr_1_64?s=books&ie=UTF8&qid=1540596084&sr=1-64&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Technology and the Advanced Language Learner,"4,205,967","1,000.00",Tim Lewis,Paperback,1902031660, 1902031660, 978-1902031668,https://www.amazon.co.uk/Technology-Advanced-Language-Learner-Lewis/dp/1902031660/ref=sr_1_80?s=books&ie=UTF8&qid=1540596104&sr=1-80&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Community Psychiatry of Old Age,"4,262,032","1,000.00",A Jha,Paperback,B00EF9B47U,Not available,Not available,https://www.amazon.co.uk/Community-Psychiatry-Old-Age-Jha/dp/B00EF9B47U/ref=sr_1_96?s=books&ie=UTF8&qid=1540596122&sr=1-96&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
HMRC Investigations Handbook 2014/15,"1,872,384","1,000.00",Mark McLaughlin,Paperback,1847669891, 1847669891, 978-1847669896,https://www.amazon.co.uk/HMRC-Investigations-Handbook-2014-15/dp/1847669891/ref=sr_1_480?s=books&ie=UTF8&qid=1540596521&sr=1-480&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Divorce and the Family Business,"2,746,735",999.99,Nick Stone & Roger Bamber,Paperback,0948903627, 0948903627, 978-0948903625,https://www.amazon.co.uk/Divorce-Family-Business-Stone-Bamber/dp/0948903627/ref=sr_1_496?s=books&ie=UTF8&qid=1540596535&sr=1-496&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Ebra nhw,"4,447,187","1,000.00",Siân Williams,Paperback,B00ADZWX4I,Not available,Not available,https://www.amazon.co.uk/Ebra-nhw-Si%C3%A2n-Williams/dp/B00ADZWX4I/ref=sr_1_992?s=books&ie=UTF8&qid=1540597068&sr=1-992&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
The London Custom House souvenir guidebook,"4,469,517","1,000.00",Anne Fletcher,Paperback,B008DZTSBG,Not available,Not available,https://www.amazon.co.uk/London-Custom-House-souvenir-guidebook/dp/B008DZTSBG/ref=sr_1_1059?s=books&ie=UTF8&qid=1540597153&sr=1-1059&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
Coming Of Age In Samoa,"4,025,548","1,000.00",M Mead,Paperback,B00A2NN1QU,Not available,Not available,https://www.amazon.co.uk/Coming-Age-Samoa-M-Mead/dp/B00A2NN1QU/ref=sr_1_994?s=books&ie=UTF8&qid=1540597084&sr=1-994&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A99900-100000
